ID, size, duration
1, 100, 1.500000
2, 100, 1.500000
3, 100, 3.500000
4, 35, 3.500000
5, 100, 3.500000
6, 100, 3.500000
7, 100, 1.500000
8, 35, 3.500000
9, 100, 3.500000
10, 13, 1.500000
11, 13, 3.500000
12, 35, 1.500000
13, 100, 3.500000
14, 35, 1.500000
15, 100, 1.500000
16, 100, 1.500000
17, 35, 1.500000
18, 100, 1.500000
19, 100, 3.500000
20, 100, 3.500000
21, 100, 1.500000
22, 100, 3.500000
23, 100, 3.500000
24, 100, 1.500000
25, 100, 3.500000
26, 100, 3.500000
27, 35, 3.500000
28, 100, 1.500000
29, 35, 1.500000
30, 100, 3.500000
31, 13, 1.500000
32, 100, 1.500000
33, 100, 1.500000
34, 100, 3.500000
35, 13, 1.500000
36, 100, 3.500000
37, 100, 1.500000
38, 100, 3.500000
39, 13, 1.500000
40, 100, 3.500000
41, 35, 1.500000
42, 100, 1.500000
43, 100, 1.500000
44, 100, 1.500000
45, 100, 1.500000
46, 100, 1.500000
47, 100, 3.500000
48, 100, 1.500000
49, 13, 1.500000
50, 100, 1.500000
51, 100, 1.500000
52, 100, 1.500000
53, 100, 3.500000
54, 100, 3.500000
55, 13, 3.500000
56, 100, 1.500000
57, 100, 1.500000
58, 100, 3.500000
59, 100, 1.500000
60, 100, 3.500000
61, 100, 3.500000
62, 100, 3.500000
63, 100, 1.500000
64, 100, 1.500000
65, 100, 3.500000
66, 100, 1.500000
67, 13, 3.500000
68, 100, 3.500000
69, 35, 3.500000
70, 100, 1.500000
71, 35, 3.500000
72, 100, 3.500000
73, 13, 1.500000
74, 100, 1.500000
75, 100, 1.500000
76, 100, 3.500000
77, 35, 3.500000
78, 100, 3.500000
79, 100, 1.500000
80, 13, 1.500000
81, 35, 3.500000
82, 100, 1.500000
83, 35, 1.500000
84, 13, 1.500000
85, 100, 1.500000
86, 100, 3.500000
87, 100, 1.500000
88, 100, 1.500000
89, 35, 1.500000
90, 100, 3.500000
91, 100, 1.500000
92, 35, 1.500000
93, 13, 3.500000
94, 100, 3.500000
95, 13, 3.500000
96, 35, 1.500000
97, 100, 3.500000
98, 100, 3.500000
99, 100, 1.500000
100, 13, 3.500000
101, 100, 3.500000
102, 100, 1.500000
103, 100, 1.500000
104, 100, 1.500000
105, 100, 3.500000
106, 100, 1.500000
107, 100, 3.500000
108, 100, 3.500000
109, 100, 1.500000
110, 100, 1.500000
111, 13, 1.500000
112, 100, 1.500000
113, 100, 1.500000
114, 35, 3.500000
115, 100, 1.500000
116, 100, 1.500000
117, 13, 3.500000
118, 100, 3.500000
119, 13, 1.500000
120, 13, 3.500000
121, 13, 3.500000
122, 35, 3.500000
123, 100, 3.500000
124, 100, 3.500000
125, 100, 3.500000
126, 100, 3.500000
127, 100, 1.500000
128, 100, 3.500000
129, 35, 3.500000
130, 100, 3.500000
131, 100, 1.500000
132, 35, 3.500000
133, 13, 3.500000
134, 100, 1.500000
135, 100, 3.500000
136, 100, 3.500000
137, 100, 1.500000
138, 100, 3.500000
139, 100, 1.500000
140, 100, 3.500000
141, 35, 1.500000
142, 100, 1.500000
143, 35, 1.500000
144, 13, 1.500000
145, 100, 3.500000
146, 13, 1.500000
147, 13, 1.500000
148, 100, 1.500000
149, 35, 1.500000
150, 35, 3.500000
151, 100, 1.500000
152, 35, 1.500000
153, 35, 3.500000
154, 100, 1.500000
155, 35, 1.500000
156, 100, 1.500000
157, 100, 1.500000
158, 100, 3.500000
159, 100, 3.500000
160, 13, 1.500000
161, 100, 1.500000
162, 100, 3.500000
163, 100, 3.500000
164, 100, 3.500000
165, 13, 3.500000
166, 100, 1.500000
167, 35, 3.500000
168, 100, 1.500000
169, 100, 3.500000
170, 100, 3.500000
171, 13, 1.500000
172, 13, 3.500000
173, 100, 3.500000
174, 35, 1.500000
175, 100, 1.500000
176, 35, 3.500000
177, 100, 3.500000
178, 100, 3.500000
179, 100, 1.500000
180, 100, 3.500000
181, 13, 1.500000
182, 100, 1.500000
183, 100, 3.500000
184, 100, 1.500000
185, 100, 1.500000
186, 100, 3.500000
187, 100, 1.500000
188, 13, 1.500000
189, 100, 1.500000
190, 100, 1.500000
191, 100, 3.500000
192, 35, 1.500000
193, 100, 3.500000
194, 13, 3.500000
195, 100, 3.500000
196, 100, 1.500000
197, 100, 3.500000
198, 35, 3.500000
199, 13, 3.500000
200, 35, 3.500000
201, 35, 1.500000
202, 13, 3.500000
203, 13, 1.500000
204, 100, 3.500000
205, 100, 3.500000
206, 13, 1.500000
207, 100, 1.500000
208, 13, 3.500000
209, 13, 1.500000
210, 100, 3.500000
211, 100, 3.500000
212, 100, 3.500000
213, 100, 1.500000
