ID, age
1, 58
2, 61
6, 60
12, 52
18, 51
19, 72
28, 73
30, 60
31, 54
34, 58
44, 69
45, 59
50, 70
56, 73
63, 59
64, 52
65, 61
68, 54
70, 57
77, 59
85, 63
89, 54
92, 60
96, 62
99, 69
103, 59
104, 53
108, 52
109, 67
110, 67
111, 52
113, 51
117, 65
119, 69
121, 65
123, 56
127, 56
132, 56
137, 56
144, 54
145, 53
150, 65
153, 71
154, 73
158, 51
169, 59
176, 66
177, 52
184, 53
196, 53
199, 53
200, 54
201, 51
202, 54
203, 68
204, 63
208, 65
236, 57
238, 54
239, 73
248, 72
252, 51
254, 55
256, 55
257, 70
263, 58
265, 57
276, 50
278, 71
280, 56
281, 56
288, 56
300, 65
304, 67
306, 57
320, 62
321, 56
323, 63
337, 52
338, 50
341, 70
350, 72
369, 57
372, 54
378, 55
380, 67
384, 55
387, 54
391, 51
398, 71
401, 53
406, 73
407, 61
408, 58
409, 53
413, 58
414, 73
416, 54
417, 67
420, 54
427, 53
435, 52
446, 54
456, 68
459, 53
465, 59
470, 67
473, 54
476, 64
497, 66
499, 51
500, 57
510, 50
512, 67
514, 59
515, 65
521, 55
522, 58
525, 50
532, 54
539, 56
551, 60
553, 64
554, 74
571, 55
572, 59
578, 58
579, 73
583, 57
597, 57
617, 57
640, 54
652, 54
666, 55
682, 57
693, 68
702, 69
704, 57
705, 69
708, 60
718, 68
723, 65
730, 60
738, 53
742, 64
751, 65
754, 55
758, 67
764, 59
765, 72
766, 52
767, 59
771, 73
773, 63
785, 57
786, 54
792, 53
820, 56
822, 70
823, 59
835, 56
844, 53
853, 62
854, 56
861, 65
868, 56
877, 71
880, 72
882, 51
885, 59
886, 56
898, 52
905, 63
907, 57
908, 61
910, 61
913, 65
915, 64
922, 64
924, 65
927, 68
938, 70
941, 58
945, 57
951, 51
960, 52
969, 57
970, 66
974, 60
982, 53
1002, 59
1003, 64
1008, 57
1010, 61
1019, 74
1021, 54
1026, 64
1027, 65
1031, 62
1032, 62
1045, 69
1051, 50
1052, 56
1053, 63
1054, 67
1057, 57
1066, 61
1073, 65
1074, 64
1080, 60
1091, 73
1093, 52
1095, 58
1100, 68
1102, 56
1108, 58
1109, 52
1114, 65
1125, 64
1148, 52
1160, 50
1164, 68
1166, 53
1167, 51
1174, 55
1175, 54
1181, 69
1186, 55
1188, 58
1195, 68
1203, 63
1204, 70
1206, 67
1209, 55
1214, 63
1221, 73
1225, 62
1231, 64
1237, 74
1241, 61
1243, 58
1244, 62
1256, 63
1259, 62
1267, 65
1279, 55
1281, 54
1282, 61
1283, 57
1286, 66
1289, 72
1291, 68
1293, 61
1302, 51
1310, 56
1324, 59
1330, 65
1352, 66
1367, 67
1371, 73
1374, 52
1375, 63
1382, 58
1383, 63
1389, 51
1390, 59
1391, 58
1397, 71
1409, 71
1413, 63
1417, 50
1418, 67
1427, 57
1432, 65
1434, 51
1441, 64
1446, 56
1447, 64
1452, 55
1458, 50
1466, 69
1468, 53
1470, 52
1487, 68
1495, 67
1496, 66
1510, 59
1519, 57
1527, 50
1529, 53
1532, 58
1534, 60
1540, 72
1542, 54
1556, 66
1557, 54
1559, 52
1572, 61
1577, 72
1583, 70
1584, 51
1585, 68
1592, 53
1594, 53
1596, 67
1599, 57
1605, 59
1608, 57
1609, 65
1618, 56
1621, 54
1627, 60
1636, 50
1642, 50
1643, 68
1646, 55
1647, 69
1655, 63
1659, 61
1664, 58
1675, 65
1682, 64
1684, 70
1686, 71
1688, 68
1689, 71
1696, 67
1701, 57
1704, 54
1705, 73
