ID, gender, age
1, 1, 51
2, 1, 50
5, 1, 51
6, 1, 53
7, 1, 45
9, 1, 53
15, 1, 45
16, 1, 50
21, 1, 53
24, 1, 53
26, 1, 45
27, 1, 46
28, 1, 47
32, 1, 46
33, 1, 52
40, 1, 46
42, 1, 45
46, 1, 46
52, 1, 53
54, 1, 52
55, 1, 48
59, 1, 49
61, 1, 53
66, 1, 50
67, 1, 53
68, 1, 49
75, 1, 51
76, 1, 49
78, 1, 53
79, 1, 47
82, 1, 50
83, 1, 49
84, 1, 52
85, 1, 45
86, 1, 49
91, 1, 45
92, 1, 46
93, 1, 50
96, 1, 49
98, 1, 49
99, 1, 47
100, 1, 46
101, 1, 54
106, 1, 51
107, 1, 45
109, 1, 50
114, 1, 52
115, 1, 47
116, 1, 46
118, 1, 47
119, 1, 54
122, 1, 54
123, 1, 50
125, 1, 54
126, 1, 47
128, 1, 50
129, 1, 49
132, 1, 51
133, 1, 47
139, 1, 49
140, 1, 48
144, 1, 53
151, 1, 54
152, 1, 48
154, 1, 45
159, 1, 51
160, 1, 54
161, 1, 45
165, 1, 49
166, 1, 45
167, 1, 50
168, 1, 46
169, 1, 50
171, 1, 47
175, 1, 52
181, 1, 50
189, 1, 50
192, 1, 52
194, 1, 52
195, 1, 49
198, 1, 51
199, 1, 47
200, 1, 53
202, 1, 52
207, 1, 53
209, 1, 54
212, 1, 49
225, 1, 52
230, 1, 45
232, 1, 45
235, 1, 45
240, 1, 45
243, 1, 51
247, 1, 48
256, 1, 48
257, 1, 49
264, 1, 52
265, 1, 49
268, 1, 45
269, 1, 49
270, 1, 54
272, 1, 54
277, 1, 51
279, 1, 45
280, 1, 49
286, 1, 47
295, 1, 45
298, 1, 45
300, 1, 45
302, 1, 52
304, 1, 53
308, 1, 46
309, 1, 45
312, 1, 52
313, 1, 47
318, 1, 48
320, 1, 45
322, 1, 51
326, 1, 46
331, 1, 52
333, 1, 50
335, 1, 50
336, 1, 51
339, 1, 47
341, 1, 45
342, 1, 46
348, 1, 49
349, 1, 47
351, 1, 46
352, 1, 54
353, 1, 45
355, 1, 47
359, 1, 46
366, 1, 52
371, 1, 49
374, 1, 54
375, 1, 50
376, 1, 51
377, 1, 47
379, 1, 52
385, 1, 52
386, 1, 54
390, 1, 54
391, 1, 50
394, 1, 48
398, 1, 51
405, 1, 46
417, 1, 52
421, 1, 54
424, 1, 52
426, 1, 47
427, 1, 45
428, 1, 54
429, 1, 53
431, 1, 45
435, 1, 45
436, 1, 48
438, 1, 47
439, 1, 48
445, 1, 54
446, 1, 51
447, 1, 47
448, 1, 46
450, 1, 45
453, 1, 52
454, 1, 49
457, 1, 46
459, 1, 48
461, 1, 53
471, 1, 48
473, 1, 45
482, 1, 53
488, 1, 49
490, 1, 49
499, 1, 52
500, 1, 46
501, 1, 52
505, 1, 50
515, 1, 46
518, 1, 48
522, 1, 48
523, 1, 45
525, 1, 54
527, 1, 45
