ID, gender, age
56, 1, 93
95, 1, 99
171, 1, 94
175, 1, 93
244, 1, 93
333, 1, 90
376, 1, 96
418, 1, 96
589, 1, 90
648, 1, 99
891, 1, 95
942, 1, 92
1039, 1, 90
1266, 1, 99
1421, 1, 99
1427, 1, 97
1461, 1, 97
1464, 1, 91
1548, 1, 94
1561, 1, 96
1568, 1, 93
1809, 1, 94
1924, 1, 92
2039, 1, 90
2094, 1, 96
2103, 1, 90
2106, 1, 90
2142, 1, 92
2202, 1, 93
2301, 1, 96
2465, 1, 94
2551, 1, 97
2701, 1, 99
2817, 1, 97
3035, 1, 97
3037, 1, 99
3142, 1, 95
3248, 1, 94
3267, 1, 91
3399, 1, 98
3473, 1, 92
3507, 1, 91
3595, 1, 90
3670, 1, 102
3740, 1, 108
3960, 1, 100
4503, 1, 103
4874, 1, 106
5040, 1, 101
5230, 1, 103
5360, 1, 108
5420, 1, 100
5502, 1, 100
5738, 1, 110
5850, 1, 115
6085, 1, 114
6699, 1, 122
6987, 1, 120
7453, 1, 82
7477, 1, 87
7537, 1, 84
7625, 1, 88
7629, 1, 80
7636, 1, 85
7787, 1, 80
7809, 1, 88
7878, 1, 84
7912, 1, 81
7952, 1, 86
7972, 1, 85
8050, 1, 86
8105, 1, 84
8110, 1, 87
8145, 1, 85
8148, 1, 80
8236, 1, 86
8250, 1, 86
8258, 1, 87
8374, 1, 81
8382, 1, 82
8426, 1, 81
8437, 1, 86
8475, 1, 87
8496, 1, 83
8509, 1, 80
8533, 1, 80
8536, 1, 87
8569, 1, 84
8623, 1, 84
8680, 1, 86
8691, 1, 89
8802, 1, 85
8807, 1, 83
8832, 1, 83
8834, 1, 80
8886, 1, 84
8887, 1, 87
8915, 1, 84
8937, 1, 89
8969, 1, 82
8979, 1, 81
8996, 1, 80
9019, 1, 83
9051, 1, 85
9052, 1, 83
9099, 1, 84
9109, 1, 84
9174, 1, 87
9232, 1, 82
9255, 1, 86
9257, 1, 81
9260, 1, 89
9265, 1, 82
9290, 1, 87
9307, 1, 82
9309, 1, 89
9444, 1, 82
9451, 1, 81
9477, 1, 84
9501, 1, 88
9518, 1, 87
9543, 1, 81
9569, 1, 88
9584, 1, 82
9587, 1, 82
9588, 1, 84
9614, 1, 87
9699, 1, 82
9700, 1, 84
9759, 1, 80
9775, 1, 83
9922, 1, 85
9931, 1, 86
9958, 1, 86
9987, 1, 80
10105, 1, 89
10146, 1, 84
10161, 1, 89
10266, 1, 81
10285, 1, 83
10357, 1, 82
10376, 1, 81
10379, 1, 83
10384, 1, 88
10425, 1, 83
10439, 1, 83
10462, 1, 81
10488, 1, 83
10559, 1, 89
10600, 1, 83
10613, 1, 88
10649, 1, 89
10651, 1, 80
10693, 1, 87
10706, 1, 81
10721, 1, 87
10750, 1, 86
10769, 1, 81
10789, 1, 82
10804, 1, 89
10820, 1, 88
10891, 1, 81
10895, 1, 89
10942, 1, 83
10988, 1, 81
10990, 1, 86
11078, 1, 81
11170, 1, 82
11209, 1, 88
11280, 1, 83
11313, 1, 88
11331, 1, 80
11338, 1, 85
11344, 1, 83
11347, 1, 88
11384, 1, 80
11475, 1, 80
11493, 1, 84
11519, 1, 85
11546, 1, 83
11581, 1, 81
11631, 1, 87
11660, 1, 86
11709, 1, 85
11766, 1, 86
11777, 1, 85
11787, 1, 82
11886, 1, 81
11976, 1, 84
12638, 1, 78
12666, 1, 77
12685, 1, 77
12709, 1, 79
12745, 1, 75
12757, 1, 76
12783, 1, 76
12836, 1, 75
12882, 1, 75
12893, 1, 75
12908, 1, 79
12909, 1, 76
12938, 1, 75
12946, 1, 79
12950, 1, 77
12954, 1, 78
12956, 1, 78
12975, 1, 78
13006, 1, 76
13031, 1, 76
13065, 1, 78
13084, 1, 77
13095, 1, 78
13105, 1, 79
13159, 1, 79
13172, 1, 79
13185, 1, 77
13204, 1, 78
13212, 1, 76
13225, 1, 76
13235, 1, 79
13241, 1, 77
13253, 1, 75
13262, 1, 75
13274, 1, 75
13284, 1, 79
13330, 1, 76
13359, 1, 78
13405, 1, 78
13407, 1, 78
13436, 1, 76
13438, 1, 78
13446, 1, 76
13465, 1, 75
13474, 1, 78
13525, 1, 75
13526, 1, 79
13537, 1, 75
13590, 1, 79
13648, 1, 79
13656, 1, 77
13711, 1, 76
13718, 1, 75
13723, 1, 79
13742, 1, 76
13769, 1, 75
13778, 1, 78
13786, 1, 79
13819, 1, 79
13870, 1, 79
13939, 1, 79
13964, 1, 75
14097, 1, 75
14105, 1, 75
14108, 1, 76
14153, 1, 77
14156, 1, 76
14164, 1, 76
14179, 1, 75
14186, 1, 75
14213, 1, 76
14215, 1, 75
14225, 1, 79
14256, 1, 75
14263, 1, 79
14281, 1, 75
14289, 1, 76
14293, 1, 78
14315, 1, 77
14344, 1, 78
14357, 1, 76
14373, 1, 79
14412, 1, 79
14422, 1, 77
14476, 1, 78
14484, 1, 79
14498, 1, 76
14505, 1, 76
14506, 1, 75
14586, 1, 75
14589, 1, 78
14611, 1, 77
14621, 1, 77
14629, 1, 76
14636, 1, 78
14677, 1, 76
14688, 1, 75
14712, 1, 77
14717, 1, 75
14775, 1, 77
14793, 1, 75
14818, 1, 75
14892, 2, 91
15048, 2, 92
15447, 2, 90
15537, 2, 97
15603, 2, 97
15610, 2, 91
15766, 2, 90
15918, 2, 93
15974, 2, 98
16019, 2, 90
16061, 2, 91
16092, 2, 97
16120, 2, 98
16203, 2, 95
16254, 2, 99
16365, 2, 92
16431, 2, 92
16522, 2, 91
16587, 2, 97
16763, 2, 93
16934, 2, 95
16983, 2, 92
16992, 2, 99
17066, 2, 91
17084, 2, 98
17100, 2, 90
17200, 2, 90
17205, 2, 90
17253, 2, 98
17347, 2, 96
17473, 2, 94
17488, 2, 90
17563, 2, 95
17796, 2, 93
17882, 2, 91
18054, 2, 90
18104, 2, 99
18141, 2, 93
18219, 2, 91
18340, 2, 99
18884, 2, 102
18926, 2, 103
19045, 2, 109
19110, 2, 107
19245, 2, 100
19374, 2, 103
19674, 2, 106
19991, 2, 103
20525, 2, 118
20992, 2, 118
21074, 2, 113
22255, 2, 85
22258, 2, 85
22264, 2, 80
22292, 2, 80
22293, 2, 84
22370, 2, 89
22393, 2, 83
22439, 2, 84
22492, 2, 81
22513, 2, 84
22560, 2, 81
22571, 2, 83
22601, 2, 81
22617, 2, 82
22689, 2, 82
22691, 2, 82
22746, 2, 81
22750, 2, 89
22793, 2, 84
22835, 2, 80
22916, 2, 82
23022, 2, 86
23093, 2, 81
23094, 2, 85
23116, 2, 88
23119, 2, 81
23144, 2, 84
23151, 2, 88
23176, 2, 86
23236, 2, 81
23237, 2, 80
23245, 2, 85
23295, 2, 80
23341, 2, 88
23386, 2, 83
23473, 2, 80
23476, 2, 89
23521, 2, 89
23530, 2, 86
23661, 2, 80
23691, 2, 81
23769, 2, 84
23804, 2, 83
23948, 2, 86
24100, 2, 83
24106, 2, 84
24173, 2, 81
24175, 2, 87
24295, 2, 83
24300, 2, 80
24309, 2, 84
24326, 2, 81
24331, 2, 87
24368, 2, 85
24374, 2, 85
24427, 2, 88
24453, 2, 81
24461, 2, 84
