ID, age
0, 53
1, 56
5, 55
9, 66
11, 47
17, 46
18, 67
27, 68
29, 55
30, 49
31, 47
33, 53
43, 64
44, 54
48, 60
49, 65
55, 68
62, 54
63, 47
64, 56
67, 49
69, 52
76, 54
78, 63
81, 53
84, 58
88, 49
91, 55
95, 57
98, 64
101, 65
102, 54
103, 48
107, 47
108, 62
109, 62
110, 47
112, 46
113, 50
116, 60
118, 64
120, 60
122, 51
126, 51
131, 51
136, 51
137, 53
142, 52
143, 49
144, 48
145, 64
146, 65
149, 60
152, 66
153, 68
157, 46
159, 50
164, 61
168, 54
175, 61
176, 47
183, 48
185, 52
195, 48
198, 48
199, 49
200, 46
201, 49
202, 63
203, 58
207, 60
211, 58
235, 52
237, 49
238, 68
240, 67
242, 69
244, 66
247, 67
251, 46
253, 50
255, 50
256, 65
262, 53
264, 52
267, 57
275, 45
277, 66
279, 51
280, 51
287, 51
299, 60
303, 62
305, 52
311, 57
315, 54
319, 57
320, 51
322, 58
332, 60
336, 47
337, 45
340, 65
347, 54
349, 67
361, 60
368, 52
371, 49
376, 45
377, 50
379, 62
380, 49
383, 50
386, 49
390, 46
391, 54
397, 66
400, 48
405, 68
406, 56
407, 53
408, 48
412, 53
413, 68
415, 49
416, 62
419, 49
426, 48
428, 58
434, 47
436, 45
439, 49
445, 49
453, 67
455, 63
458, 48
464, 54
469, 62
472, 49
473, 49
475, 59
477, 49
488, 62
496, 61
498, 46
499, 52
505, 56
509, 45
511, 62
513, 54
514, 60
515, 46
520, 50
521, 53
524, 45
531, 49
532, 66
538, 51
550, 55
552, 59
553, 69
561, 61
570, 50
571, 54
577, 53
578, 68
582, 52
585, 59
596, 52
612, 52
616, 52
635, 47
639, 49
646, 57
647, 49
651, 49
665, 50
681, 52
682, 67
689, 63
692, 63
694, 59
701, 64
703, 52
704, 64
707, 55
717, 63
721, 50
722, 60
724, 50
727, 56
729, 55
737, 48
741, 59
750, 60
753, 50
755, 63
757, 62
760, 49
762, 65
763, 54
764, 67
765, 47
766, 54
770, 68
772, 58
773, 67
776, 68
777, 59
779, 67
784, 52
785, 49
791, 48
797, 68
807, 67
819, 51
821, 65
822, 54
834, 51
843, 48
845, 59
850, 67
852, 57
853, 51
857, 45
860, 60
867, 51
876, 66
879, 67
881, 46
884, 54
885, 51
888, 52
897, 47
904, 58
906, 52
907, 56
909, 56
912, 60
914, 59
919, 45
921, 59
923, 60
926, 63
937, 65
940, 53
944, 52
945, 67
950, 46
959, 47
960, 60
968, 52
969, 61
973, 55
974, 63
976, 54
979, 50
981, 48
987, 67
990, 69
1001, 54
1002, 59
1007, 52
1009, 56
1018, 69
1020, 49
1025, 59
1026, 60
1030, 57
1031, 57
1036, 57
1044, 64
1050, 45
1051, 51
1052, 58
1053, 62
1056, 52
1057, 49
1065, 56
1069, 55
1072, 60
1073, 59
1076, 53
1079, 55
1081, 66
1090, 68
1092, 47
1094, 53
1099, 63
1101, 51
1107, 53
1108, 47
1113, 60
1114, 68
1124, 59
1132, 53
1147, 47
1159, 45
1163, 63
1165, 48
1166, 46
1169, 63
1173, 50
1174, 49
1180, 64
1185, 50
1187, 53
1190, 53
1192, 58
1194, 63
1195, 51
1196, 55
1202, 58
1203, 65
1205, 62
1208, 50
1213, 58
1220, 68
1224, 57
1227, 69
1230, 59
1236, 69
1240, 56
1242, 53
1243, 57
1254, 54
1255, 58
1258, 57
1263, 69
1266, 60
1278, 50
1280, 49
1281, 56
1282, 52
1285, 61
1288, 67
1290, 63
1292, 56
1301, 46
1309, 51
1311, 62
1323, 54
1325, 57
1329, 60
1336, 66
1338, 64
1351, 61
1353, 57
1359, 56
1365, 61
1366, 62
1370, 68
1373, 47
1374, 58
1378, 49
1381, 53
1382, 58
1384, 65
1388, 46
1389, 54
1390, 53
1396, 66
1408, 66
1412, 58
1416, 45
1417, 62
1425, 68
1426, 52
1431, 60
1432, 54
1433, 46
1440, 59
1445, 51
1446, 59
1451, 50
1453, 49
1457, 45
1465, 64
1467, 48
1469, 47
1479, 58
1486, 63
1494, 62
1495, 61
1509, 54
1518, 52
1526, 45
1528, 48
1531, 53
1533, 55
1537, 67
1539, 67
1541, 49
1543, 58
1555, 61
1556, 49
1558, 47
1568, 46
1571, 56
1575, 53
1576, 67
1582, 65
1583, 46
1584, 63
1591, 48
1593, 48
1595, 62
1597, 54
1598, 52
1604, 54
1607, 52
1608, 60
1611, 56
1615, 56
1617, 51
1620, 49
1626, 55
1635, 45
1637, 57
1638, 54
1640, 60
1641, 45
1642, 63
1645, 50
1646, 64
1654, 58
1656, 46
1658, 56
1663, 53
1667, 59
1674, 60
1681, 59
1682, 51
1683, 65
1685, 66
1687, 63
1688, 66
1695, 62
1700, 52
1703, 49
1704, 68
1707, 67
1708, 49
1710, 55
1711, 67
1712, 60
1713, 63
1715, 50
1723, 65
1724, 52
1726, 57
1728, 60
1732, 50
1733, 47
1735, 48
1738, 47
1739, 68
1740, 65
1747, 68
1748, 52
1749, 62
1751, 55
1754, 53
1755, 57
1758, 68
1760, 63
1761, 46
1764, 48
1767, 68
1768, 52
1771, 49
1775, 50
1776, 57
1780, 49
1784, 51
1786, 68
1791, 53
1799, 66
1801, 48
1802, 45
1809, 52
1810, 54
1813, 64
1815, 53
1829, 45
1830, 52
1835, 51
1840, 64
1848, 46
1863, 56
1869, 58
1870, 48
1872, 63
1879, 53
1896, 62
1897, 50
1903, 58
1906, 50
1908, 54
1911, 64
1913, 53
1918, 67
1925, 68
1926, 66
1927, 56
1936, 68
1940, 52
1941, 58
1942, 46
1945, 65
1946, 59
1948, 50
1949, 59
1950, 52
1952, 68
1956, 62
1958, 48
1962, 45
1963, 56
1969, 68
1975, 55
1977, 47
1980, 61
1984, 53
1986, 51
1987, 45
1991, 48
1993, 47
2000, 56
2004, 67
2007, 59
2012, 53
2018, 63
2019, 57
2023, 57
2026, 60
2027, 62
2033, 53
2036, 45
2037, 62
2040, 56
2049, 50
2064, 45
2066, 53
2067, 47
2075, 66
2076, 69
2080, 48
2082, 69
2088, 61
2089, 60
2090, 54
2091, 64
2097, 54
2098, 58
2104, 45
2106, 51
2108, 45
2109, 57
2111, 48
2119, 56
2120, 47
2123, 56
2124, 62
2128, 65
2130, 60
2134, 62
2135, 46
2136, 53
2137, 46
2144, 59
2145, 66
2146, 53
2151, 52
2154, 65
2155, 46
2156, 58
2170, 58
2173, 46
2178, 64
2182, 59
2183, 49
2185, 56
2186, 53
2192, 59
2195, 52
2203, 54
2215, 46
2216, 54
2217, 48
2218, 55
2220, 52
2221, 50
2224, 65
2227, 66
2230, 58
2231, 49
2232, 60
2233, 53
2237, 55
2240, 46
2241, 46
2252, 51
