ID, gender, age
2, 1, 65
5, 1, 66
7, 1, 60
9, 1, 68
21, 1, 68
24, 1, 68
27, 1, 61
28, 1, 62
33, 1, 67
42, 1, 60
46, 1, 61
54, 1, 67
67, 1, 68
68, 1, 64
75, 1, 66
76, 1, 64
78, 1, 68
79, 1, 62
83, 1, 64
84, 1, 67
85, 1, 60
86, 1, 64
93, 1, 65
96, 1, 64
98, 1, 64
100, 1, 61
101, 1, 69
119, 1, 69
125, 1, 69
128, 1, 65
132, 1, 66
139, 1, 64
140, 1, 63
151, 1, 69
152, 1, 63
154, 1, 60
159, 1, 66
160, 1, 69
166, 1, 60
181, 1, 65
194, 1, 67
195, 1, 64
199, 1, 62
202, 1, 67
212, 1, 64
230, 1, 60
232, 1, 60
240, 1, 60
256, 1, 63
265, 1, 64
268, 1, 60
270, 1, 69
277, 1, 66
280, 1, 64
286, 1, 62
313, 1, 62
320, 1, 60
326, 1, 61
336, 1, 66
339, 1, 62
341, 1, 60
349, 1, 62
352, 1, 69
359, 1, 61
374, 1, 69
385, 1, 67
394, 1, 63
405, 1, 61
421, 1, 69
426, 1, 62
428, 1, 69
436, 1, 63
447, 1, 62
448, 1, 61
450, 1, 60
471, 1, 63
490, 1, 64
499, 1, 67
500, 1, 61
522, 1, 63
523, 1, 60
527, 1, 60
555, 1, 63
556, 1, 65
570, 1, 66
579, 1, 61
580, 1, 60
590, 1, 62
602, 1, 60
624, 1, 61
625, 1, 68
630, 1, 66
636, 1, 66
661, 1, 61
667, 1, 60
676, 1, 66
677, 1, 64
685, 1, 66
699, 1, 61
705, 1, 62
706, 1, 67
712, 1, 62
727, 1, 67
742, 1, 60
744, 1, 68
773, 1, 60
776, 1, 61
783, 1, 65
785, 1, 68
794, 1, 69
801, 1, 64
808, 1, 63
825, 1, 63
869, 1, 66
878, 1, 62
879, 1, 62
883, 1, 61
886, 1, 69
887, 1, 64
894, 1, 67
907, 1, 60
914, 1, 60
917, 1, 66
918, 1, 62
930, 1, 67
939, 1, 62
940, 1, 61
947, 1, 63
949, 1, 67
951, 1, 65
953, 1, 61
961, 1, 65
968, 1, 64
970, 1, 61
971, 1, 62
972, 1, 65
973, 1, 68
974, 1, 69
976, 1, 61
982, 1, 60
987, 1, 63
1029, 1, 65
1050, 1, 65
1055, 1, 69
1059, 1, 66
1063, 1, 68
1065, 1, 63
1085, 1, 61
1088, 1, 68
1098, 1, 66
1103, 1, 62
1106, 1, 60
1125, 1, 68
1132, 1, 61
1143, 1, 64
1144, 1, 65
1149, 1, 64
1151, 1, 67
1159, 1, 60
1173, 1, 67
1188, 1, 66
1190, 1, 69
1203, 1, 64
1207, 1, 60
1212, 1, 68
1219, 1, 66
1225, 1, 69
1230, 1, 67
1231, 1, 65
1232, 1, 62
1246, 1, 62
1271, 1, 64
1277, 1, 69
1288, 1, 64
1289, 1, 63
1290, 1, 60
1300, 1, 68
1305, 1, 67
1306, 1, 62
1307, 1, 64
1310, 1, 61
1315, 1, 63
1330, 1, 62
1333, 1, 66
1352, 1, 62
1363, 1, 63
1364, 1, 65
1369, 1, 64
1380, 1, 62
1383, 1, 61
1384, 1, 66
1387, 1, 69
1388, 1, 62
1391, 1, 63
1396, 1, 60
1425, 1, 66
1431, 1, 62
1435, 1, 60
1438, 1, 66
1440, 1, 64
1444, 1, 60
1445, 1, 61
1455, 1, 64
1461, 1, 60
1479, 1, 63
1480, 1, 67
1481, 1, 66
1496, 1, 61
1500, 1, 65
1506, 1, 63
1511, 1, 63
1521, 1, 64
1523, 1, 68
1550, 1, 66
1551, 1, 68
1557, 1, 67
1560, 1, 69
1565, 1, 69
1566, 1, 67
1568, 1, 67
1571, 1, 65
1579, 1, 62
1585, 1, 66
1596, 1, 60
1601, 1, 66
1623, 1, 60
1627, 1, 61
1635, 1, 66
1636, 1, 68
1643, 1, 60
1647, 1, 61
1665, 1, 63
1688, 1, 62
1696, 1, 66
1697, 1, 67
1700, 1, 60
1704, 1, 60
1721, 1, 62
1727, 1, 69
1732, 1, 66
1735, 1, 64
1750, 1, 60
1762, 1, 66
1766, 1, 62
1787, 1, 66
1790, 1, 60
1796, 1, 66
1799, 1, 65
1808, 1, 61
1809, 1, 61
1811, 1, 67
1815, 1, 66
1817, 1, 66
1821, 1, 66
1826, 1, 65
1827, 1, 61
1828, 1, 60
1842, 1, 69
1846, 1, 63
1848, 1, 68
1855, 1, 64
1874, 1, 69
1885, 1, 61
1887, 1, 66
1888, 1, 60
1889, 1, 60
1890, 1, 64
1894, 1, 69
1902, 1, 62
1908, 1, 62
1914, 1, 68
1917, 1, 60
1928, 1, 62
1931, 1, 63
1932, 1, 65
1938, 1, 60
1957, 1, 61
1960, 1, 61
1961, 1, 60
1985, 1, 60
1990, 1, 66
1991, 1, 69
1996, 1, 62
2004, 1, 68
2005, 1, 67
2017, 1, 61
2029, 1, 69
2037, 1, 64
2038, 1, 60
2041, 1, 60
2044, 1, 63
2046, 1, 63
2049, 1, 65
2052, 1, 62
2063, 1, 66
2079, 1, 64
2084, 1, 62
2092, 1, 66
2096, 1, 62
2097, 1, 64
2105, 1, 64
2106, 1, 65
2108, 1, 64
2112, 1, 66
2115, 1, 65
2119, 1, 67
2121, 1, 66
2128, 1, 68
2130, 1, 64
2131, 1, 60
2133, 1, 60
2134, 1, 65
2135, 1, 67
2141, 1, 60
2144, 1, 69
2169, 1, 68
2172, 1, 61
2175, 1, 69
2180, 1, 65
2187, 1, 69
2211, 1, 63
2213, 1, 63
2220, 1, 63
2221, 1, 65
2222, 1, 64
2226, 1, 64
2230, 1, 63
2237, 1, 62
2244, 1, 60
2252, 1, 62
2261, 1, 60
2265, 1, 60
2277, 1, 60
2285, 1, 68
2293, 1, 69
2295, 1, 61
2296, 1, 64
2298, 1, 69
2299, 1, 60
2300, 1, 65
2304, 1, 67
2306, 1, 64
2310, 1, 66
2313, 1, 69
2319, 1, 67
2321, 1, 67
2323, 1, 67
2326, 1, 61
2347, 1, 65
2348, 1, 62
