ID, gender, age
56, 1, 88
76, 1, 92
91, 1, 87
95, 1, 94
159, 1, 86
163, 1, 89
171, 1, 89
175, 1, 88
244, 1, 88
333, 1, 85
376, 1, 91
418, 1, 91
434, 1, 90
589, 1, 85
619, 1, 86
648, 1, 94
782, 1, 89
816, 1, 88
831, 1, 87
841, 1, 85
891, 1, 90
919, 1, 87
940, 1, 88
942, 1, 87
996, 1, 88
1039, 1, 85
1042, 1, 87
1084, 1, 85
1117, 1, 85
1243, 1, 88
1266, 1, 94
1421, 1, 94
1427, 1, 92
1461, 1, 92
1464, 1, 86
1484, 1, 85
1490, 1, 93
1548, 1, 89
1561, 1, 91
1568, 1, 88
1694, 1, 92
1809, 1, 89
1924, 1, 87
2039, 1, 85
2042, 1, 91
2094, 1, 91
2103, 1, 85
2106, 1, 85
2142, 1, 87
2198, 1, 89
2202, 1, 88
2233, 1, 85
2267, 1, 86
2282, 1, 89
2288, 1, 94
2301, 1, 91
2335, 1, 91
2423, 1, 89
2439, 1, 92
2465, 1, 89
2551, 1, 92
2661, 1, 87
2701, 1, 94
2808, 1, 87
2815, 1, 85
2817, 1, 92
2995, 1, 92
3035, 1, 92
3037, 1, 94
3142, 1, 90
3203, 1, 87
3248, 1, 89
3267, 1, 86
3295, 1, 85
3334, 1, 85
3386, 1, 92
3399, 1, 93
3473, 1, 87
3494, 1, 85
3495, 1, 93
3507, 1, 86
3595, 1, 85
3601, 1, 89
3670, 1, 97
3740, 1, 103
3960, 1, 95
4136, 1, 103
4503, 1, 98
4511, 1, 99
4622, 1, 96
4636, 1, 95
4750, 1, 101
4868, 1, 96
4874, 1, 101
5040, 1, 96
5046, 1, 95
5103, 1, 99
5230, 1, 98
5360, 1, 103
5367, 1, 95
5420, 1, 95
5502, 1, 95
5506, 1, 96
5530, 1, 106
5661, 1, 114
5738, 1, 105
5850, 1, 110
6065, 1, 106
6085, 1, 109
6568, 1, 106
6699, 1, 117
6902, 1, 123
6957, 1, 123
6987, 1, 115
7140, 1, 123
7453, 1, 77
7477, 1, 82
7537, 1, 79
7546, 1, 81
7550, 1, 75
7561, 1, 79
7625, 1, 83
7629, 1, 75
7636, 1, 80
7648, 1, 83
7658, 1, 78
7663, 1, 76
7684, 1, 75
7774, 1, 81
7787, 1, 75
7809, 1, 83
7878, 1, 79
7886, 1, 84
7912, 1, 76
7952, 1, 81
7972, 1, 80
8010, 1, 84
8050, 1, 81
8105, 1, 79
8110, 1, 82
8114, 1, 84
8145, 1, 80
8148, 1, 75
8232, 1, 80
8236, 1, 81
8250, 1, 81
8258, 1, 82
8374, 1, 76
8382, 1, 77
8426, 1, 76
8437, 1, 81
8475, 1, 82
8492, 1, 76
8496, 1, 78
8509, 1, 75
8512, 1, 82
8533, 1, 75
8536, 1, 82
8557, 1, 78
8560, 1, 75
8565, 1, 80
8569, 1, 79
8623, 1, 79
8680, 1, 81
8691, 1, 84
8730, 1, 82
8763, 1, 81
8779, 1, 82
8802, 1, 80
8807, 1, 78
8832, 1, 78
8834, 1, 75
8857, 1, 83
8876, 1, 84
8886, 1, 79
8887, 1, 82
8915, 1, 79
8937, 1, 84
8946, 1, 77
8969, 1, 77
8975, 1, 75
8979, 1, 76
8996, 1, 75
9019, 1, 78
9051, 1, 80
9052, 1, 78
9064, 1, 81
9080, 1, 76
9093, 1, 80
9099, 1, 79
9103, 1, 80
9109, 1, 79
9174, 1, 82
9221, 1, 77
9232, 1, 77
9255, 1, 81
9257, 1, 76
9260, 1, 84
9265, 1, 77
9290, 1, 82
9301, 1, 83
9307, 1, 77
9309, 1, 84
9390, 1, 77
9423, 1, 76
9444, 1, 77
9451, 1, 76
9477, 1, 79
9501, 1, 83
9518, 1, 82
9543, 1, 76
9569, 1, 83
9584, 1, 77
9587, 1, 77
9588, 1, 79
9610, 1, 76
9614, 1, 82
9628, 1, 79
9629, 1, 83
9687, 1, 76
9699, 1, 77
9700, 1, 79
9759, 1, 75
9775, 1, 78
9810, 1, 81
9922, 1, 80
9931, 1, 81
9942, 1, 79
9950, 1, 76
9958, 1, 81
9987, 1, 75
9993, 1, 77
10065, 1, 79
10101, 1, 75
10105, 1, 84
10146, 1, 79
10161, 1, 84
10226, 1, 76
10266, 1, 76
10285, 1, 78
10317, 1, 80
10357, 1, 77
10374, 1, 77
10376, 1, 76
10379, 1, 78
10381, 1, 81
10384, 1, 83
10414, 1, 76
10425, 1, 78
10439, 1, 78
10445, 1, 82
10462, 1, 76
10466, 1, 84
10468, 1, 75
10488, 1, 78
10507, 1, 77
10535, 1, 84
10552, 1, 77
10559, 1, 84
10600, 1, 78
10613, 1, 83
10649, 1, 84
10651, 1, 75
10693, 1, 82
10706, 1, 76
10721, 1, 82
10750, 1, 81
10769, 1, 76
10789, 1, 77
10804, 1, 84
10820, 1, 83
10878, 1, 77
10891, 1, 76
10895, 1, 84
10935, 1, 80
10942, 1, 78
10988, 1, 76
10990, 1, 81
11078, 1, 76
11117, 1, 83
11170, 1, 77
11187, 1, 76
11198, 1, 82
11209, 1, 83
11230, 1, 81
11280, 1, 78
11313, 1, 83
11331, 1, 75
11338, 1, 80
11344, 1, 78
11347, 1, 83
11377, 1, 79
11384, 1, 75
11456, 1, 84
11475, 1, 75
11493, 1, 79
11519, 1, 80
11546, 1, 78
11562, 1, 82
11576, 1, 82
11581, 1, 76
11612, 1, 79
11631, 1, 82
11660, 1, 81
11688, 1, 76
11709, 1, 80
11766, 1, 81
11777, 1, 80
11787, 1, 77
11802, 1, 78
11876, 1, 79
11886, 1, 76
11932, 1, 79
11940, 1, 80
11950, 1, 84
11976, 1, 79
12638, 1, 73
12666, 1, 72
12670, 1, 70
12685, 1, 72
12709, 1, 74
12737, 1, 73
12745, 1, 70
12748, 1, 70
12757, 1, 71
12783, 1, 71
12836, 1, 70
12882, 1, 70
12893, 1, 70
12908, 1, 74
12909, 1, 71
12929, 1, 70
12938, 1, 70
12944, 1, 70
12945, 1, 70
12946, 1, 74
12950, 1, 72
12954, 1, 73
12956, 1, 73
12975, 1, 73
13006, 1, 71
13031, 1, 71
13065, 1, 73
13084, 1, 72
13095, 1, 73
13102, 1, 73
13105, 1, 74
13159, 1, 74
13172, 1, 74
13185, 1, 72
13204, 1, 73
13212, 1, 71
13225, 1, 71
13235, 1, 74
13239, 1, 70
13241, 1, 72
13253, 1, 70
13257, 1, 71
13262, 1, 70
13274, 1, 70
13284, 1, 74
13330, 1, 71
13359, 1, 73
13405, 1, 73
13407, 1, 73
13418, 1, 74
13421, 1, 70
13431, 1, 74
13436, 1, 71
13438, 1, 73
13446, 1, 71
13465, 1, 70
13474, 1, 73
13499, 1, 72
13524, 1, 73
13525, 1, 70
13526, 1, 74
13537, 1, 70
13546, 1, 70
13553, 1, 70
13565, 1, 74
13566, 1, 72
13590, 1, 74
13605, 1, 73
13648, 1, 74
13656, 1, 72
13682, 1, 71
13711, 1, 71
13718, 1, 70
13723, 1, 74
13729, 1, 73
13742, 1, 71
13749, 1, 71
13769, 1, 70
13778, 1, 73
13784, 1, 70
13786, 1, 74
13810, 1, 72
13819, 1, 74
13870, 1, 74
13905, 1, 72
13939, 1, 74
13954, 1, 72
13964, 1, 70
13965, 1, 72
13975, 1, 73
14043, 1, 70
14049, 1, 72
14059, 1, 70
14081, 1, 70
14097, 1, 70
14105, 1, 70
14108, 1, 71
14142, 1, 73
14153, 1, 72
14156, 1, 71
14164, 1, 71
14179, 1, 70
14186, 1, 70
14195, 1, 72
14213, 1, 71
14215, 1, 70
14216, 1, 73
14225, 1, 74
14256, 1, 70
14263, 1, 74
14277, 1, 72
14281, 1, 70
14289, 1, 71
14293, 1, 73
14315, 1, 72
14340, 1, 71
14344, 1, 73
14357, 1, 71
14370, 1, 73
14371, 1, 73
14373, 1, 74
14412, 1, 74
14422, 1, 72
14463, 1, 72
14476, 1, 73
14484, 1, 74
14498, 1, 71
14505, 1, 71
14506, 1, 70
14578, 1, 73
14586, 1, 70
14589, 1, 73
14611, 1, 72
14621, 1, 72
14629, 1, 71
14636, 1, 73
14662, 1, 71
14670, 1, 74
14677, 1, 71
14688, 1, 70
14700, 1, 70
14702, 1, 73
14712, 1, 72
14717, 1, 70
14732, 1, 71
14740, 1, 73
14770, 1, 72
14775, 1, 72
14793, 1, 70
14807, 1, 73
14818, 1, 70
14846, 1, 70
14864, 1, 71
