ID, gender, age
1, 1, 58
2, 1, 61
6, 1, 60
9, 1, 64
10, 1, 56
21, 1, 56
24, 1, 64
30, 1, 60
31, 1, 64
37, 1, 58
44, 1, 64
45, 1, 59
49, 1, 60
57, 1, 57
58, 1, 55
62, 1, 60
71, 1, 59
72, 1, 60
77, 1, 59
78, 1, 59
80, 1, 55
82, 1, 63
87, 1, 58
88, 1, 56
89, 1, 59
94, 1, 63
102, 1, 55
105, 1, 62
106, 1, 56
107, 1, 62
108, 1, 57
109, 1, 62
112, 1, 61
121, 1, 55
129, 1, 64
133, 1, 62
136, 1, 60
138, 1, 58
142, 1, 56
143, 1, 57
151, 1, 55
155, 1, 63
161, 1, 64
163, 1, 59
168, 1, 55
169, 1, 59
170, 1, 59
177, 1, 62
179, 1, 64
196, 1, 63
202, 1, 59
203, 1, 58
205, 1, 58
207, 1, 61
219, 1, 55
228, 1, 64
239, 1, 63
240, 1, 56
248, 1, 57
257, 1, 55
269, 1, 57
275, 1, 64
276, 1, 55
277, 1, 63
283, 1, 58
290, 1, 61
292, 1, 58
305, 1, 61
307, 1, 60
314, 1, 57
319, 1, 57
324, 1, 57
325, 1, 56
329, 1, 56
330, 1, 59
336, 1, 63
339, 1, 59
348, 1, 59
349, 1, 57
350, 1, 57
354, 1, 60
357, 1, 55
369, 1, 57
379, 1, 55
384, 1, 60
388, 1, 58
392, 1, 64
393, 1, 59
405, 1, 63
415, 1, 55
418, 1, 61
430, 1, 62
431, 1, 58
434, 1, 60
437, 1, 60
439, 1, 62
442, 1, 55
453, 1, 59
457, 1, 64
458, 1, 57
461, 1, 55
478, 1, 64
496, 1, 55
497, 1, 56
500, 1, 57
517, 1, 59
519, 1, 59
523, 1, 57
528, 1, 59
536, 1, 55
538, 1, 55
548, 1, 55
558, 1, 58
560, 1, 63
566, 1, 62
571, 1, 60
586, 1, 59
588, 1, 64
603, 1, 62
614, 1, 55
625, 1, 56
632, 1, 60
642, 1, 55
645, 1, 55
647, 1, 57
