ID, age
1, 63
2, 66
6, 65
12, 57
18, 56
30, 65
31, 59
34, 63
44, 74
50, 75
56, 78
63, 64
64, 57
68, 59
70, 62
77, 64
89, 59
92, 65
96, 67
99, 74
103, 64
104, 58
108, 57
109, 72
110, 72
111, 57
117, 70
119, 74
121, 70
123, 61
127, 61
132, 61
137, 61
144, 59
150, 70
154, 78
158, 56
169, 64
176, 71
177, 57
184, 58
196, 58
199, 58
200, 59
201, 56
202, 59
203, 73
236, 62
238, 59
252, 56
254, 60
256, 60
257, 75
265, 62
280, 61
281, 61
300, 70
306, 62
320, 67
337, 57
338, 55
341, 75
350, 77
369, 62
372, 59
378, 60
384, 60
387, 59
391, 56
398, 76
401, 58
406, 78
408, 63
409, 58
413, 63
414, 78
420, 59
427, 58
435, 57
459, 58
465, 64
497, 71
499, 56
500, 62
510, 55
512, 72
514, 64
515, 70
522, 63
525, 55
532, 59
539, 61
551, 65
553, 69
571, 60
572, 64
583, 62
597, 62
617, 62
640, 59
682, 62
693, 73
702, 74
704, 62
705, 74
708, 65
718, 73
723, 70
730, 65
742, 69
754, 60
758, 72
764, 64
765, 77
767, 64
773, 68
785, 62
792, 58
820, 61
823, 64
835, 61
844, 58
853, 67
861, 70
877, 76
882, 56
885, 64
886, 61
898, 57
905, 68
907, 62
910, 66
913, 70
922, 69
927, 73
938, 75
941, 63
945, 62
951, 56
969, 62
970, 71
974, 65
1003, 69
1019, 79
1021, 59
1026, 69
1027, 70
1031, 67
1051, 55
1053, 68
1057, 62
1073, 70
1074, 69
1080, 65
1095, 63
1102, 61
1160, 55
1164, 73
1167, 56
1174, 60
1175, 59
1181, 74
1188, 63
1195, 73
1203, 68
1204, 75
1209, 60
1214, 68
1225, 67
1231, 69
1241, 66
1243, 63
1244, 67
1256, 68
1259, 67
1267, 70
1279, 60
1282, 66
1283, 62
1289, 77
1293, 66
1302, 56
1310, 61
1324, 64
1330, 70
1352, 71
1371, 78
1374, 57
1382, 63
1383, 68
1389, 56
1390, 64
1397, 76
1409, 76
1413, 68
1417, 55
1418, 72
1427, 62
1434, 56
1446, 61
1447, 69
1458, 55
1466, 74
1468, 58
1470, 57
1487, 73
1496, 71
1510, 64
1519, 62
1527, 55
1532, 63
1534, 65
1540, 77
1542, 59
1557, 59
1559, 57
1572, 66
1577, 77
1583, 75
1594, 58
1596, 72
1599, 62
1609, 70
1621, 59
1627, 65
1636, 55
1642, 55
1643, 73
