ID, age
5, 60
7, 117
10, 87
11, 52
13, 84
22, 92
30, 54
31, 27
32, 47
34, 94
37, 81
38, 36
40, 54
43, 44
44, 109
47, 49
48, 40
50, 38
61, 50
65, 30
66, 71
68, 38
74, 39
81, 33
82, 101
86, 28
95, 37
96, 51
110, 77
121, 54
122, 56
129, 52
134, 111
136, 31
139, 49
142, 57
148, 33
150, 65
159, 80
163, 53
168, 59
169, 89
171, 39
174, 68
182, 62
195, 53
196, 68
197, 36
202, 68
206, 31
207, 65
208, 29
209, 43
210, 53
213, 42
214, 42
216, 49
226, 30
235, 32
237, 29
239, 36
241, 53
242, 124
245, 93
247, 47
248, 36
250, 30
253, 55
255, 30
