ID, gender, age, household, church
213, 1, 22, 5140, 51
214, 1, 16, 2575, 97
215, 1, 20, 5184, 99
216, 1, 19, 5330, 56
217, 1, 22, 4376, 117
218, 1, 18, 3492, 86
219, 1, 16, 6498, 27
220, 1, 20, 5149, 160
221, 1, 16, 5993, 84
222, 1, 16, 1844, 203
223, 1, 23, 3723, 152
224, 1, 22, 5478, 138
225, 1, 22, 3450, 169
226, 1, 17, 6477, 4
227, 1, 15, 1332, 129
228, 1, 21, 6561, 124
229, 1, 18, 3052, 115
230, 1, 15, 6229, 73
231, 1, 24, 3726, 45
232, 1, 15, 6497, 84
233, 1, 23, 6045, 56
234, 1, 20, 6415, 80
235, 1, 15, 4900, 45
236, 1, 17, 4664, 143
237, 1, 22, 6524, 33
238, 1, 16, 547, 9
239, 1, 23, 6289, 184
240, 1, 15, 5293, 149
241, 1, 21, 6229, 73
242, 1, 22, 6469, 206
243, 1, 21, 3106, 145
244, 1, 20, 4856, 81
245, 1, 20, 3615, 177
246, 1, 23, 5613, 47
247, 1, 18, 2955, 23
248, 1, 17, 2519, 6
249, 1, 20, 6246, 74
250, 1, 22, 4066, 189
251, 1, 19, 5081, 18
252, 1, 24, 3601, 13
253, 1, 16, 5089, 27
254, 1, 21, 4761, 9
255, 1, 17, 6178, 131
256, 1, 18, 3843, 160
257, 1, 19, 6205, 57
258, 1, 17, 3546, -1
259, 1, 23, 6067, 116
260, 1, 21, 5335, 149
261, 1, 17, 4927, -1
262, 1, 22, 472, 126
263, 1, 17, 5778, 135
264, 1, 22, 4869, 185
265, 1, 19, 1923, 86
266, 1, 16, 3933, 149
267, 1, 21, 3648, 138
268, 1, 15, 5410, 190
269, 1, 19, 5007, 97
270, 1, 24, 5262, 153
271, 1, 16, 3847, 18
272, 1, 24, 3218, 63
273, 1, 20, 6588, 63
274, 1, 18, 6007, 50
275, 1, 20, 2574, 163
276, 1, 21, 4573, 91
277, 1, 21, 4544, 14
278, 1, 15, 1531, 120
279, 1, 15, 4125, 192
280, 1, 19, 6228, 116
281, 1, 19, 4723, 192
282, 1, 19, 4022, 177
283, 1, 21, 5179, 165
284, 1, 18, 2301, 95
285, 1, 20, 4313, 149
286, 1, 17, 2290, -1
287, 1, 23, 4248, 170
288, 1, 22, 6471, 26
289, 1, 22, 5718, 124
290, 1, 22, 3651, 113
291, 1, 22, 6213, 196
292, 1, 18, 6536, 189
293, 1, 18, 641, 164
294, 1, 15, 5473, 33
295, 1, 15, 6568, 79
296, 1, 15, 3672, 114
297, 1, 15, 3736, 135
298, 1, 15, 6563, 167
299, 1, 22, 4117, 186
300, 1, 15, 2955, 23
301, 1, 16, 6583, 138
302, 1, 22, 5493, 184
303, 1, 18, 6456, 2
304, 1, 23, 1942, 201
305, 1, 17, 4922, 29
306, 1, 15, 5140, 51
307, 1, 24, 6126, 185
308, 1, 16, 6541, 201
309, 1, 15, 4739, 161
310, 1, 20, 6366, 52
311, 1, 19, 333, 139
312, 1, 22, 4492, 203
313, 1, 17, 5009, 132
314, 1, 24, 323, 29
315, 1, 18, 6286, 151
316, 1, 19, 5643, 146
317, 1, 24, 5390, 167
318, 1, 18, 5179, 165
319, 1, 17, 1605, 172
320, 1, 15, 2634, 12
321, 1, 16, 1314, 17
322, 1, 21, 1616, 95
323, 1, 20, 6002, 60
324, 1, 23, 221, 22
325, 1, 20, 929, 184
326, 1, 16, 5394, 144
327, 1, 21, 1856, 163
328, 1, 21, 216, 88
329, 1, 19, 5918, 86
330, 1, 21, 3960, 56
331, 1, 22, 6210, 136
332, 1, 17, 5582, 18
333, 1, 20, 4541, 201
334, 1, 20, 2838, 65
335, 1, 20, 2656, 124
336, 1, 21, 2102, 50
337, 1, 20, 6443, 111
338, 1, 24, 3168, 51
339, 1, 17, 2230, 146
340, 1, 18, 6227, 45
341, 1, 15, 1004, 203
342, 1, 16, 5860, 196
343, 1, 18, 4989, 163
344, 1, 17, 1685, 165
345, 1, 22, 4979, 5
346, 1, 18, 5304, 154
347, 1, 15, 1610, 15
348, 1, 19, 4692, 162
349, 1, 17, 1793, 99
350, 1, 24, 5833, 206
351, 1, 16, 3364, 28
352, 1, 24, 1777, 18
353, 1, 15, 4105, 108
354, 1, 22, 6054, 146
355, 1, 17, 1098, 111
356, 1, 15, 235, 112
357, 1, 23, 0, 0
358, 1, 15, 3437, 167
359, 1, 16, 1112, 65
360, 1, 24, 6092, 74
361, 1, 18, 4117, 186
362, 1, 21, 2827, 136
363, 1, 24, 6191, 37
364, 1, 19, 4629, 43
365, 1, 20, 3386, 62
366, 1, 22, 6040, 44
367, 1, 24, 1024, 11
368, 1, 22, 6026, 170
369, 1, 16, 4983, 182
370, 1, 24, 3378, 123
371, 1, 19, 1742, -1
372, 1, 21, 5838, 17
373, 1, 23, 419, 167
374, 1, 24, 1753, 148
375, 1, 20, 4480, 152
376, 1, 21, 2467, 152
377, 1, 17, 4897, -1
378, 1, 24, 2879, 203
379, 1, 22, 4327, 141
380, 1, 16, 2110, 188
381, 1, 19, 5045, 77
382, 1, 18, 1463, 140
383, 1, 22, 6271, 79
384, 1, 15, 6457, 98
385, 1, 22, 6423, 22
386, 1, 24, 395, 143
387, 1, 19, 1791, 197
388, 1, 20, 2018, 32
389, 1, 21, 5295, 77
390, 1, 24, 5910, 194
391, 1, 20, 5301, 80
392, 1, 21, 410, 177
393, 1, 15, 2581, 190
394, 1, 18, 5769, 86
395, 1, 21, 5036, 162
396, 1, 15, 3996, -1
397, 1, 20, 6577, 144
398, 1, 21, 6480, 210
399, 1, 18, 6494, 188
400, 1, 19, 6427, 86
401, 1, 24, 1257, 98
402, 1, 21, 5923, 26
403, 1, 16, 1273, 66
404, 1, 22, 4143, 39
405, 1, 16, 5967, 79
406, 1, 15, 4082, 10
407, 1, 23, 4158, 34
408, 1, 17, 4179, 56
409, 1, 21, 6234, 63
410, 1, 22, 6056, 22
411, 1, 15, 3885, 37
412, 1, 15, 3531, 1
413, 1, 19, 6082, 26
414, 1, 18, 2721, 17
415, 1, 18, 1822, 133
416, 1, 16, 6223, 128
417, 1, 22, 4290, -1
418, 1, 24, 5044, 86
419, 1, 16, 5887, 155
420, 1, 22, 6234, 63
421, 1, 24, 5523, 144
422, 1, 16, 4576, 5
423, 1, 19, 3644, 203
424, 1, 22, 4804, 41
425, 1, 20, 6346, 76
426, 1, 17, 6247, 3
427, 1, 15, 5610, 81
428, 1, 24, 2389, 64
429, 1, 23, 4908, 84
430, 1, 21, 6090, 34
431, 1, 15, 6535, -1
432, 1, 19, 3687, 108
433, 1, 16, 748, 75
434, 1, 22, 2910, 47
435, 1, 15, 4413, 166
436, 1, 18, 4417, 141
437, 1, 21, 6568, 79
438, 1, 17, 2777, 137
439, 1, 18, 3156, 138
440, 1, 20, 3479, 107
441, 1, 21, 6530, 191
442, 1, 22, 6011, 26
443, 1, 16, 5077, 137
444, 1, 19, 4885, 168
445, 1, 24, 5501, 149
446, 1, 21, 6358, 22
447, 1, 17, 4509, 200
448, 1, 16, 4227, 12
449, 1, 17, 3629, 19
450, 1, 15, 4439, 59
451, 1, 18, 2730, 94
452, 1, 17, 476, 54
453, 1, 22, 1263, 66
454, 1, 19, 6531, 186
455, 1, 15, 5045, 77
456, 1, 18, 4644, 70
457, 1, 16, 1711, 198
458, 1, 15, 5400, 202
459, 1, 18, 4992, -1
460, 1, 15, 4669, 60
461, 1, 23, 2231, 66
462, 1, 23, 6263, 5
463, 1, 20, 5082, 75
464, 1, 21, 3677, 174
465, 1, 20, 5406, 81
466, 1, 17, 1427, 79
467, 1, 22, 5243, 144
468, 1, 23, 4985, -1
469, 1, 15, 1371, 1
470, 1, 17, 3332, -1
471, 1, 18, 6120, 13
472, 1, 20, 3243, 114
473, 1, 15, 5856, 6
474, 1, 18, 5049, 144
475, 1, 15, 5887, 155
476, 1, 15, 5102, 17
477, 1, 17, 6262, 37
478, 1, 20, 1592, 48
479, 1, 23, 2877, 84
480, 1, 19, 133, 50
481, 1, 22, 4689, -1
482, 1, 23, 5133, 53
483, 1, 15, 4251, 150
484, 1, 21, 2037, 70
485, 1, 17, 2298, 101
486, 1, 23, 5767, 10
487, 1, 15, 5705, 181
488, 1, 19, 5334, 81
489, 1, 24, 5637, 142
490, 1, 19, 2745, 121
491, 1, 19, 3883, 150
492, 1, 17, 4560, 206
493, 1, 18, 6423, 22
494, 1, 24, 3683, 11
495, 1, 17, 4576, 5
496, 1, 24, 6140, 48
497, 1, 22, 2493, 129
498, 1, 16, 5401, 171
499, 1, 22, 6584, 177
500, 1, 16, 1184, -1
501, 1, 22, 5874, 178
502, 1, 21, 3150, 136
503, 1, 22, 2159, 8
504, 1, 22, 4929, 202
505, 1, 20, 3790, 7
506, 1, 24, 5904, 17
507, 1, 19, 2865, -1
508, 1, 19, 1547, 7
509, 1, 23, 3170, 175
510, 1, 17, 5661, 163
511, 1, 21, 4685, 170
512, 1, 18, 5778, 135
513, 1, 15, 5405, 127
514, 1, 23, 6288, 122
515, 1, 16, 5127, 199
516, 1, 21, 1073, 76
517, 1, 17, 4282, 104
518, 1, 18, 4343, 6
519, 1, 20, 5046, 51
520, 1, 22, 4849, 36
521, 1, 24, 3219, 166
522, 1, 18, 812, 141
523, 1, 15, 3084, 7
524, 1, 21, 4293, 198
525, 1, 24, 1791, 197
526, 1, 24, 6584, 177
527, 1, 15, 494, 169
528, 1, 17, 3969, 144
529, 1, 24, 5876, 162
530, 1, 19, 5527, 84
531, 1, 20, 6495, 57
532, 1, 19, 6575, 26
533, 1, 15, 4652, 187
534, 1, 22, 1734, 179
535, 1, 16, 2662, 82
536, 1, 17, 210, 177
537, 1, 21, 1720, -1
538, 1, 19, 6097, 28
539, 1, 22, 4357, 167
540, 1, 22, 5739, 128
541, 1, 20, 3967, 114
542, 1, 17, 3342, 8
543, 1, 17, 4284, 171
544, 1, 16, 2323, 12
545, 1, 16, 6407, 184
546, 1, 15, 5379, 95
547, 1, 21, 691, 192
548, 1, 21, 1644, -1
549, 1, 22, 2836, 55
550, 1, 19, 4064, 33
551, 1, 18, 3556, 113
552, 1, 16, 5252, 48
553, 1, 21, 4596, 24
554, 1, 22, 6275, 118
555, 1, 18, 2604, 138
556, 1, 20, 5740, -1
557, 1, 15, 1828, 61
558, 1, 22, 3843, 160
559, 1, 23, 3144, 17
560, 1, 20, 5374, 109
561, 1, 16, 2823, 37
562, 1, 16, 3242, 67
563, 1, 23, 1294, 7
564, 1, 15, 6568, 79
565, 1, 19, 485, 172
566, 1, 19, 1029, 5
567, 1, 20, 2189, 61
568, 1, 21, 3713, 163
569, 1, 21, 6295, 41
570, 1, 21, 2965, 109
571, 1, 19, 4070, 58
572, 1, 20, 3247, 130
573, 1, 20, 4783, 32
574, 1, 21, 5893, 137
575, 1, 15, 1780, 174
576, 1, 15, 3233, 166
577, 1, 17, 6086, 5
578, 1, 20, 6503, 1
579, 1, 16, 5465, 59
580, 1, 15, 4412, -1
581, 1, 23, 3922, 124
582, 1, 17, 5340, -1
583, 1, 19, 6414, 15
584, 1, 17, 5927, 124
585, 1, 21, 3357, 79
586, 1, 22, 365, -1
587, 1, 23, 4128, 177
588, 1, 16, 4604, 28
589, 1, 21, 6226, 192
590, 1, 17, 1875, 18
591, 1, 24, 5956, 13
592, 1, 16, 3894, 19
593, 1, 22, 3726, 45
594, 1, 15, 4918, 122
595, 1, 22, 1786, 97
596, 1, 23, 4228, 149
597, 1, 20, 3981, 1
598, 1, 18, 6183, 129
599, 1, 18, 5119, 95
600, 1, 24, 4721, 91
601, 1, 17, 3981, 1
602, 1, 15, 6146, 125
603, 1, 23, 3429, 133
604, 1, 22, 5539, 54
605, 1, 19, 2861, 206
606, 1, 23, 4791, 52
607, 1, 24, 3340, 186
608, 1, 24, 6050, 199
609, 1, 23, 5214, 58
610, 1, 16, 6153, 165
611, 1, 23, 3448, 86
612, 1, 20, 1283, 51
613, 1, 24, 3996, -1
614, 1, 18, 2880, 13
615, 1, 16, 4466, 138
616, 1, 19, 6433, 183
617, 1, 17, 6461, 188
618, 1, 16, 5564, 155
619, 1, 16, 1609, -1
620, 1, 19, 3060, 108
621, 1, 18, 2710, 198
622, 1, 18, 1123, -1
623, 1, 19, 3813, -1
624, 1, 16, 5316, 166
625, 1, 23, 3773, 98
626, 1, 17, 4361, 137
627, 1, 19, 2535, 181
628, 1, 17, 5294, 82
629, 1, 16, 5499, 77
630, 1, 21, 4226, 35
631, 1, 23, 4941, 111
632, 1, 23, 2741, -1
633, 1, 17, 6104, 124
634, 1, 24, 3313, 7
635, 1, 21, 1977, 199
636, 1, 21, 2848, 48
637, 1, 19, 6074, 12
638, 1, 17, 5781, 67
639, 1, 16, 3116, 52
640, 1, 19, 2168, 200
641, 1, 24, 4675, 174
642, 1, 17, 5040, 133
643, 1, 24, 6108, 24
644, 1, 22, 4148, 131
645, 1, 20, 6374, 111
646, 1, 22, 5118, 148
647, 1, 20, 4366, 132
648, 1, 17, 6362, 132
649, 1, 21, 5341, 60
650, 1, 19, 2968, 166
651, 1, 19, 5875, 153
652, 1, 17, 6469, 206
653, 1, 24, 5139, -1
654, 1, 19, 4769, 21
655, 1, 20, 4448, 54
656, 1, 16, 6379, 122
657, 1, 22, 4368, 66
658, 1, 23, 690, 11
659, 1, 22, 6045, 56
660, 1, 24, 4396, -1
661, 1, 16, 6512, 58
662, 1, 21, 6276, 22
663, 1, 22, 3032, 192
664, 1, 21, 1968, 92
665, 1, 18, 5700, 209
666, 1, 23, 3457, 165
667, 1, 15, 5512, 123
668, 1, 17, 5693, 168
669, 1, 21, 6440, 178
670, 1, 24, 3210, 67
671, 1, 21, 3013, 74
672, 1, 21, 5504, 34
673, 1, 23, 5524, 45
674, 1, 23, 4200, 25
675, 1, 19, 3221, 170
676, 1, 21, 4870, 48
677, 1, 19, 3997, 172
678, 1, 22, 5229, 12
679, 1, 20, 6223, 128
680, 1, 17, 5050, 162
681, 1, 23, 4759, 144
682, 1, 22, 4732, 195
683, 1, 22, 3264, 23
684, 1, 20, 4227, 12
685, 1, 21, 6545, 18
686, 1, 22, 5715, 177
687, 1, 22, 3531, 1
688, 1, 21, 6301, 206
689, 1, 24, 1349, 170
690, 1, 15, 5210, 63
691, 1, 21, 3638, 182
692, 1, 19, 3850, 75
693, 1, 19, 604, 99
694, 1, 22, 4425, 145
695, 1, 17, 5748, 106
696, 1, 17, 550, -1
697, 1, 18, 2657, 155
698, 1, 22, 4416, 34
699, 1, 16, 6049, 53
700, 1, 15, 2509, 118
701, 1, 24, 6168, 150
702, 1, 15, 4404, 123
703, 1, 17, 4512, 177
704, 1, 16, 4529, 134
705, 1, 17, 6536, 189
706, 1, 22, 5539, 54
707, 1, 16, 4874, 157
708, 1, 19, 5936, 166
709, 1, 19, 6052, 78
710, 1, 21, 1524, 4
711, 1, 19, 3956, 27
712, 1, 17, 6506, 173
713, 1, 15, 5420, 140
714, 1, 15, 2239, 79
715, 1, 17, 4362, 172
716, 1, 24, 4935, 21
717, 1, 20, 5127, 199
718, 1, 15, 5328, 17
719, 1, 24, 4187, 144
720, 1, 21, 3518, 99
721, 1, 19, 2173, 94
722, 1, 15, 5632, 15
723, 1, 16, 3712, 174
724, 1, 23, 1215, 65
725, 1, 24, 6536, 189
726, 1, 18, 2540, 98
727, 1, 22, 0, 0
728, 1, 22, 6101, 135
729, 1, 17, 1924, 126
730, 1, 20, 6307, 53
731, 1, 22, 1386, 94
732, 1, 24, 3444, 100
733, 1, 22, 939, 105
734, 1, 22, 3203, 185
735, 1, 16, 4312, 162
736, 1, 23, 6385, 83
737, 1, 16, 6458, 138
738, 1, 15, 5873, -1
739, 1, 18, 3973, 143
740, 1, 24, 3531, 1
741, 1, 24, 6592, -1
742, 1, 15, 6227, 45
743, 1, 20, 3522, 136
744, 1, 23, 5990, 31
745, 1, 23, 5950, 6
746, 1, 17, 6446, 17
747, 1, 17, 6323, 51
748, 1, 22, 6317, 120
749, 1, 22, 5163, 189
750, 1, 15, 4572, 155
751, 1, 16, 4498, 74
752, 1, 19, 30, 129
753, 1, 18, 1922, 157
754, 1, 17, 5639, 161
755, 1, 16, 6242, 136
756, 1, 19, 6187, 171
757, 1, 20, 6258, 125
758, 1, 19, 5873, -1
759, 1, 20, 5498, 27
760, 1, 22, 6389, 193
761, 1, 18, 5085, 144
762, 1, 17, 5764, 142
763, 1, 16, 6255, 111
764, 1, 24, 6254, 186
765, 1, 22, 6008, 175
766, 1, 20, 2757, 5
767, 1, 15, 5277, 112
768, 1, 23, 4899, 189
769, 1, 20, 3669, 197
770, 1, 22, 759, 206
771, 1, 18, 4809, 127
772, 1, 23, 5279, 141
773, 1, 15, 2123, 35
774, 1, 15, 4669, 60
775, 1, 15, 5590, 202
776, 1, 16, 6334, 1
777, 1, 18, 5624, 7
778, 1, 17, 623, 122
779, 1, 24, 4343, 6
780, 1, 22, 1065, 114
781, 1, 19, 1369, 138
782, 1, 23, 4652, 187
783, 1, 20, 490, 108
784, 1, 15, 5208, 67
785, 1, 23, 5857, 135
786, 1, 20, 1246, 41
787, 1, 22, 5292, 181
788, 1, 24, 4210, 185
789, 1, 24, 6317, 120
790, 1, 23, 5602, 26
791, 1, 21, 5317, 43
792, 1, 19, 4995, 169
793, 1, 24, 0, 0
794, 1, 24, 4242, 84
795, 1, 23, 3488, -1
796, 1, 15, 4149, 190
797, 1, 16, 4704, 123
798, 1, 18, 6217, 111
799, 1, 19, 6127, 58
800, 1, 16, 6102, 150
801, 1, 19, 3610, 95
802, 1, 24, 5867, 29
803, 1, 16, 3760, 188
804, 1, 19, 5580, 146
805, 1, 22, 1623, 75
806, 1, 16, 6308, 75
807, 1, 18, 3704, 111
808, 1, 18, 2762, 88
809, 1, 22, 5149, 160
810, 1, 23, 5504, 34
811, 1, 18, 3255, 135
