ID, gender, age
6, 1, 75
18, 1, 66
31, 1, 69
50, 1, 85
63, 1, 74
68, 1, 69
89, 1, 69
96, 1, 77
104, 1, 68
108, 1, 67
109, 1, 82
117, 1, 80
123, 1, 71
132, 1, 71
137, 1, 71
154, 1, 88
169, 1, 74
176, 1, 81
177, 1, 67
199, 1, 68
201, 1, 66
203, 1, 83
236, 1, 72
238, 1, 69
254, 1, 70
257, 1, 85
280, 1, 71
281, 1, 71
300, 1, 80
337, 1, 67
338, 1, 65
378, 1, 70
384, 1, 70
387, 1, 69
391, 1, 66
413, 1, 73
414, 1, 88
435, 1, 67
459, 1, 68
512, 1, 82
522, 1, 73
532, 1, 69
551, 1, 75
571, 1, 70
597, 1, 72
640, 1, 69
705, 1, 84
718, 1, 83
723, 1, 80
764, 1, 74
765, 1, 87
785, 1, 72
792, 1, 68
820, 1, 71
823, 1, 74
835, 1, 71
853, 1, 77
882, 1, 66
885, 1, 74
886, 1, 71
898, 1, 67
938, 1, 85
941, 1, 73
945, 1, 72
951, 1, 66
974, 1, 75
1003, 1, 79
1053, 1, 78
1057, 1, 72
1073, 1, 80
1074, 1, 79
1080, 1, 75
1102, 1, 71
1174, 1, 70
1203, 1, 78
1209, 1, 70
1214, 1, 78
1225, 1, 77
1231, 1, 79
1244, 1, 77
1282, 1, 76
1283, 1, 72
1289, 1, 87
1293, 1, 76
1302, 1, 66
1310, 1, 71
1324, 1, 74
1330, 1, 80
1382, 1, 73
1383, 1, 78
1397, 1, 86
1409, 1, 86
1418, 1, 82
1458, 1, 65
1487, 1, 83
1510, 1, 74
1519, 1, 72
1527, 1, 65
1540, 1, 87
1542, 1, 69
1557, 1, 69
1559, 1, 67
1596, 1, 82
1621, 1, 69
1627, 1, 75
1636, 1, 65
1642, 1, 65
1664, 1, 73
1675, 1, 80
1682, 1, 79
1689, 1, 86
1701, 1, 72
1705, 1, 88
1709, 1, 69
1713, 1, 80
1714, 1, 83
1727, 1, 77
1733, 1, 70
1734, 1, 67
1736, 1, 68
1741, 1, 85
1761, 1, 83
1776, 1, 70
1777, 1, 77
1781, 1, 69
1785, 1, 71
1803, 1, 65
1849, 1, 66
1871, 1, 68
1873, 1, 83
1907, 1, 70
1912, 1, 84
1928, 1, 76
1947, 1, 79
1951, 1, 72
1963, 1, 65
1981, 1, 81
2020, 1, 77
2024, 1, 77
2034, 1, 73
2068, 1, 67
2077, 1, 89
2081, 1, 68
2090, 1, 80
2099, 1, 78
2112, 1, 68
2124, 1, 76
2125, 1, 82
2129, 1, 85
2138, 1, 66
2145, 1, 79
2156, 1, 66
2174, 1, 66
2186, 1, 76
2216, 1, 66
2217, 1, 74
