ID, gender, age
1, 1, 26
2, 1, 25
3, 1, 21
5, 1, 26
6, 1, 28
7, 1, 20
8, 1, 25
9, 1, 28
10, 1, 26
11, 1, 23
12, 1, 27
13, 1, 20
14, 1, 20
15, 1, 20
16, 1, 25
17, 1, 25
18, 1, 27
19, 1, 25
21, 1, 28
22, 1, 24
23, 1, 29
24, 1, 28
26, 1, 20
27, 1, 21
28, 1, 22
29, 1, 20
30, 1, 29
31, 1, 29
32, 1, 21
33, 1, 27
35, 1, 23
36, 1, 21
37, 1, 29
38, 1, 25
39, 1, 23
40, 1, 21
42, 1, 20
43, 1, 24
44, 1, 26
45, 1, 25
46, 1, 21
47, 1, 27
48, 1, 25
49, 1, 23
50, 1, 21
52, 1, 28
54, 1, 27
55, 1, 23
56, 1, 29
57, 1, 20
58, 1, 26
59, 1, 24
60, 1, 24
61, 1, 28
62, 1, 28
63, 1, 20
64, 1, 20
65, 1, 26
66, 1, 25
67, 1, 28
68, 1, 24
69, 1, 29
70, 1, 21
71, 1, 20
72, 1, 23
73, 1, 26
74, 1, 28
75, 1, 26
76, 1, 24
77, 1, 27
78, 1, 28
79, 1, 22
80, 1, 20
82, 1, 25
83, 1, 24
84, 1, 27
85, 1, 20
86, 1, 24
87, 1, 21
88, 1, 22
89, 1, 25
90, 1, 22
91, 1, 20
92, 1, 21
93, 1, 25
94, 1, 29
95, 1, 25
96, 1, 24
97, 1, 27
98, 1, 24
99, 1, 22
100, 1, 21
101, 1, 29
102, 1, 28
103, 1, 28
105, 1, 26
106, 1, 26
107, 1, 20
108, 1, 27
109, 1, 25
110, 1, 28
111, 1, 20
112, 1, 24
113, 1, 28
114, 1, 27
115, 1, 22
116, 1, 21
117, 1, 21
118, 1, 22
119, 1, 29
120, 1, 29
121, 1, 20
122, 1, 29
123, 1, 25
124, 1, 20
125, 1, 29
126, 1, 22
128, 1, 25
129, 1, 24
130, 1, 27
131, 1, 28
132, 1, 26
133, 1, 22
134, 1, 20
135, 1, 20
136, 1, 27
137, 1, 25
138, 1, 29
