ID, gender, age
1, 1, 46
2, 1, 45
3, 1, 41
5, 1, 46
6, 1, 48
7, 1, 40
9, 1, 48
10, 1, 46
15, 1, 40
16, 1, 45
21, 1, 48
24, 1, 48
26, 1, 40
27, 1, 41
28, 1, 42
32, 1, 41
33, 1, 47
40, 1, 41
42, 1, 40
43, 1, 44
44, 1, 46
46, 1, 41
48, 1, 45
50, 1, 41
52, 1, 48
54, 1, 47
55, 1, 43
58, 1, 46
59, 1, 44
61, 1, 48
63, 1, 40
64, 1, 40
65, 1, 46
66, 1, 45
67, 1, 48
68, 1, 44
72, 1, 43
75, 1, 46
76, 1, 44
78, 1, 48
79, 1, 42
82, 1, 45
83, 1, 44
84, 1, 47
85, 1, 40
86, 1, 44
91, 1, 40
92, 1, 41
93, 1, 45
94, 1, 49
96, 1, 44
98, 1, 44
99, 1, 42
100, 1, 41
101, 1, 49
102, 1, 48
106, 1, 46
107, 1, 40
109, 1, 45
112, 1, 44
113, 1, 48
114, 1, 47
115, 1, 42
116, 1, 41
118, 1, 42
119, 1, 49
122, 1, 49
123, 1, 45
125, 1, 49
126, 1, 42
128, 1, 45
129, 1, 44
132, 1, 46
133, 1, 42
135, 1, 40
138, 1, 49
139, 1, 44
140, 1, 43
144, 1, 48
151, 1, 49
152, 1, 43
154, 1, 40
159, 1, 46
160, 1, 49
161, 1, 40
165, 1, 44
166, 1, 40
167, 1, 45
168, 1, 41
169, 1, 45
171, 1, 42
172, 1, 40
175, 1, 47
181, 1, 45
189, 1, 45
192, 1, 47
194, 1, 47
195, 1, 44
198, 1, 46
199, 1, 42
200, 1, 48
202, 1, 47
206, 1, 40
207, 1, 48
209, 1, 49
212, 1, 44
216, 1, 44
217, 1, 47
222, 1, 41
225, 1, 47
228, 1, 46
230, 1, 40
232, 1, 40
235, 1, 40
237, 1, 47
239, 1, 48
240, 1, 40
241, 1, 46
243, 1, 46
246, 1, 48
247, 1, 43
249, 1, 45
256, 1, 43
257, 1, 44
258, 1, 42
264, 1, 47
265, 1, 44
267, 1, 46
268, 1, 40
269, 1, 44
270, 1, 49
272, 1, 49
274, 1, 43
276, 1, 46
277, 1, 46
279, 1, 40
280, 1, 44
282, 1, 44
285, 1, 45
286, 1, 42
289, 1, 47
290, 1, 47
293, 1, 43
294, 1, 40
295, 1, 40
298, 1, 40
300, 1, 40
302, 1, 47
304, 1, 48
308, 1, 41
309, 1, 40
312, 1, 47
313, 1, 42
314, 1, 49
318, 1, 43
319, 1, 42
320, 1, 40
322, 1, 46
326, 1, 41
331, 1, 47
333, 1, 45
335, 1, 45
336, 1, 46
339, 1, 42
341, 1, 40
342, 1, 41
