ID, gender, age
1, 1, 41
2, 1, 40
3, 1, 36
5, 1, 41
6, 1, 43
7, 1, 35
9, 1, 43
10, 1, 41
15, 1, 35
16, 1, 40
21, 1, 43
24, 1, 43
26, 1, 35
27, 1, 36
28, 1, 37
31, 1, 44
32, 1, 36
33, 1, 42
38, 1, 40
39, 1, 38
40, 1, 36
42, 1, 35
43, 1, 39
44, 1, 41
45, 1, 40
46, 1, 36
48, 1, 40
50, 1, 36
52, 1, 43
54, 1, 42
55, 1, 38
58, 1, 41
59, 1, 39
61, 1, 43
63, 1, 35
64, 1, 35
65, 1, 41
66, 1, 40
67, 1, 43
68, 1, 39
71, 1, 35
72, 1, 38
74, 1, 43
75, 1, 41
76, 1, 39
78, 1, 43
79, 1, 37
82, 1, 40
83, 1, 39
84, 1, 42
85, 1, 35
86, 1, 39
91, 1, 35
92, 1, 36
93, 1, 40
94, 1, 44
96, 1, 39
98, 1, 39
99, 1, 37
100, 1, 36
101, 1, 44
102, 1, 43
106, 1, 41
107, 1, 35
109, 1, 40
112, 1, 39
113, 1, 43
114, 1, 42
115, 1, 37
116, 1, 36
117, 1, 36
118, 1, 37
119, 1, 44
122, 1, 44
123, 1, 40
124, 1, 35
125, 1, 44
126, 1, 37
128, 1, 40
129, 1, 39
132, 1, 41
133, 1, 37
135, 1, 35
137, 1, 40
138, 1, 44
139, 1, 39
140, 1, 38
142, 1, 42
144, 1, 43
146, 1, 38
151, 1, 44
152, 1, 38
153, 1, 42
154, 1, 35
156, 1, 36
157, 1, 36
158, 1, 35
159, 1, 41
160, 1, 44
161, 1, 35
165, 1, 39
166, 1, 35
167, 1, 40
168, 1, 36
169, 1, 40
171, 1, 37
172, 1, 35
173, 1, 38
175, 1, 42
176, 1, 44
178, 1, 36
181, 1, 40
183, 1, 40
184, 1, 36
186, 1, 44
189, 1, 40
190, 1, 37
192, 1, 42
194, 1, 42
195, 1, 39
198, 1, 41
199, 1, 37
200, 1, 43
202, 1, 42
204, 1, 38
205, 1, 44
206, 1, 35
207, 1, 43
209, 1, 44
212, 1, 39
216, 1, 39
217, 1, 42
222, 1, 36
225, 1, 42
228, 1, 41
230, 1, 35
232, 1, 35
235, 1, 35
237, 1, 42
239, 1, 43
240, 1, 35
241, 1, 41
242, 1, 42
243, 1, 41
246, 1, 43
247, 1, 38
249, 1, 40
255, 1, 37
