ID, age
1, 33
2, 36
3, 27
5, 43
6, 35
7, 36
10, 46
11, 37
12, 27
15, 38
16, 26
17, 40
18, 26
19, 47
23, 42
24, 29
25, 32
27, 37
28, 48
29, 42
30, 35
31, 29
32, 27
33, 47
34, 33
36, 42
38, 31
39, 36
40, 42
41, 29
42, 48
44, 44
45, 34
46, 37
47, 48
48, 49
49, 40
50, 45
51, 38
52, 26
55, 31
56, 48
57, 37
58, 45
59, 46
61, 30
63, 34
64, 27
65, 36
66, 30
67, 46
68, 29
69, 38
70, 32
73, 32
74, 45
75, 39
76, 42
77, 34
78, 39
79, 43
82, 33
83, 26
84, 28
85, 38
86, 34
87, 28
88, 26
89, 29
91, 32
92, 35
93, 26
95, 39
96, 37
97, 26
98, 36
99, 44
102, 45
103, 34
104, 28
105, 42
106, 26
108, 27
109, 42
110, 42
111, 27
112, 31
113, 26
114, 30
115, 36
117, 40
118, 39
119, 44
120, 44
121, 40
122, 29
123, 31
125, 47
127, 31
130, 27
131, 42
132, 31
133, 47
134, 28
135, 36
136, 40
137, 31
138, 33
140, 49
142, 46
143, 32
144, 29
145, 28
146, 44
147, 45
148, 43
150, 40
151, 40
153, 46
154, 48
155, 43
156, 45
157, 46
158, 26
160, 30
161, 29
162, 38
163, 39
164, 28
165, 41
166, 25
167, 43
168, 25
169, 34
170, 39
171, 49
173, 37
174, 31
175, 43
176, 41
177, 27
183, 37
184, 28
185, 25
186, 32
187, 49
189, 33
191, 29
192, 37
194, 43
195, 43
196, 28
197, 43
199, 28
200, 29
201, 26
202, 29
203, 43
204, 38
205, 38
208, 40
209, 29
210, 43
211, 28
212, 38
214, 42
215, 42
217, 49
219, 45
224, 25
225, 44
229, 29
230, 36
233, 42
235, 47
236, 32
238, 29
239, 48
241, 47
243, 49
245, 46
246, 43
248, 47
251, 30
252, 26
253, 36
254, 30
256, 30
257, 45
258, 36
259, 44
260, 26
263, 33
264, 41
265, 32
266, 33
267, 49
268, 37
270, 49
271, 25
272, 36
273, 27
275, 29
276, 25
277, 43
278, 46
280, 31
281, 31
282, 30
283, 33
284, 44
285, 35
286, 38
287, 49
288, 31
289, 49
290, 46
291, 34
292, 48
293, 38
294, 43
295, 40
297, 26
298, 41
300, 40
301, 40
303, 26
304, 42
305, 36
306, 32
308, 31
309, 29
311, 37
312, 37
316, 34
317, 36
318, 35
319, 42
320, 37
321, 31
322, 26
323, 38
324, 47
326, 30
327, 44
330, 29
332, 36
333, 40
334, 42
336, 28
337, 27
338, 25
339, 34
340, 33
341, 45
342, 49
343, 47
348, 34
350, 47
351, 47
352, 25
354, 35
355, 47
358, 42
359, 48
361, 48
362, 40
364, 40
365, 34
366, 31
368, 36
369, 32
370, 30
371, 44
372, 29
373, 29
375, 48
376, 26
377, 25
378, 30
380, 42
381, 29
384, 30
385, 46
386, 42
387, 29
388, 38
390, 29
391, 26
392, 34
394, 27
395, 27
396, 31
397, 34
398, 46
399, 42
400, 43
401, 28
402, 39
406, 48
407, 36
408, 33
409, 28
411, 28
413, 33
414, 48
415, 40
416, 29
417, 42
419, 43
420, 29
421, 25
422, 46
426, 40
427, 28
428, 33
429, 38
430, 47
433, 36
434, 25
435, 27
437, 25
438, 38
439, 32
440, 29
442, 35
443, 39
444, 46
446, 29
448, 27
450, 48
451, 31
452, 27
453, 44
454, 47
456, 43
458, 27
459, 28
460, 28
461, 25
463, 47
464, 38
465, 34
466, 26
467, 35
468, 34
470, 42
471, 40
472, 27
473, 29
474, 29
475, 49
476, 39
478, 29
480, 35
481, 27
482, 25
485, 49
486, 39
487, 42
488, 38
489, 42
494, 40
495, 32
496, 40
497, 41
499, 26
500, 32
503, 35
504, 42
505, 48
506, 36
507, 31
508, 34
509, 40
510, 25
512, 42
514, 34
515, 40
516, 26
517, 49
518, 32
519, 39
520, 43
521, 30
522, 33
523, 37
524, 36
525, 25
526, 46
527, 26
529, 41
532, 29
533, 46
534, 40
539, 31
541, 32
543, 37
545, 39
546, 30
548, 40
549, 37
550, 29
551, 35
553, 39
554, 49
555, 30
556, 41
557, 45
558, 33
559, 37
560, 38
562, 41
566, 42
568, 35
570, 37
571, 30
572, 34
573, 42
575, 45
578, 33
579, 48
580, 37
581, 39
582, 33
583, 32
584, 28
586, 39
589, 25
590, 34
591, 43
593, 25
594, 38
596, 33
597, 32
598, 31
599, 43
602, 49
603, 42
607, 47
608, 44
613, 32
617, 32
620, 32
621, 49
623, 47
624, 26
625, 31
627, 37
629, 29
632, 25
633, 31
635, 41
636, 27
638, 39
640, 29
641, 38
642, 30
643, 43
647, 37
648, 29
652, 29
653, 26
654, 33
656, 34
659, 49
661, 27
662, 25
663, 36
665, 43
666, 30
668, 49
671, 30
672, 34
673, 41
674, 25
675, 30
676, 39
677, 39
680, 43
681, 30
682, 32
683, 47
684, 32
687, 43
688, 49
689, 26
690, 43
693, 43
694, 49
695, 39
697, 29
698, 27
700, 25
701, 38
702, 44
704, 32
705, 44
706, 42
708, 35
709, 37
710, 41
711, 28
712, 43
714, 28
715, 25
718, 43
719, 42
722, 30
723, 40
724, 33
725, 30
726, 29
727, 46
728, 36
730, 35
731, 39
732, 48
734, 26
735, 30
736, 25
738, 28
739, 35
740, 31
741, 45
742, 39
743, 49
744, 45
746, 26
747, 38
749, 46
750, 31
751, 40
752, 35
753, 36
754, 30
755, 45
756, 43
758, 42
759, 32
760, 46
761, 29
763, 45
764, 34
765, 47
766, 27
767, 34
768, 40
769, 33
770, 47
771, 48
772, 30
773, 38
774, 47
777, 48
778, 39
779, 34
780, 47
781, 47
785, 32
786, 29
787, 29
788, 43
789, 48
790, 36
792, 28
794, 37
797, 41
798, 48
799, 48
800, 49
803, 29
805, 46
806, 32
808, 47
811, 44
814, 28
818, 34
819, 28
820, 31
821, 47
822, 45
823, 34
824, 33
826, 48
827, 41
829, 48
830, 40
831, 27
832, 46
833, 39
834, 34
835, 31
836, 35
838, 49
839, 34
840, 39
841, 25
842, 28
844, 28
846, 39
847, 38
848, 39
849, 26
850, 42
851, 47
853, 37
854, 31
856, 47
857, 31
858, 25
859, 25
860, 29
861, 40
862, 29
863, 25
864, 31
865, 38
868, 31
869, 31
870, 28
871, 45
872, 33
873, 32
874, 31
875, 37
876, 40
877, 46
878, 25
879, 29
880, 47
881, 42
882, 26
883, 47
884, 32
885, 34
886, 31
888, 40
889, 32
890, 33
892, 49
893, 37
894, 47
895, 33
896, 26
897, 29
898, 27
900, 37
901, 32
902, 32
904, 41
905, 38
906, 35
907, 32
908, 36
910, 36
911, 35
913, 40
914, 33
915, 39
916, 26
917, 41
918, 45
920, 25
921, 28
922, 39
923, 25
924, 40
925, 36
927, 43
929, 37
930, 28
931, 32
934, 30
935, 38
936, 25
938, 45
940, 28
941, 33
943, 33
944, 25
945, 32
946, 47
947, 27
948, 26
949, 44
951, 26
952, 49
956, 48
957, 38
958, 35
960, 27
961, 40
965, 31
967, 27
968, 49
969, 32
970, 41
971, 27
972, 42
973, 41
974, 35
975, 43
977, 34
980, 30
981, 41
982, 28
983, 29
984, 28
985, 33
988, 47
989, 30
990, 47
991, 49
993, 25
996, 33
997, 37
998, 27
999, 32
1000, 46
1001, 43
1002, 34
1003, 39
1004, 34
1006, 34
1008, 32
1009, 29
1010, 36
1011, 37
1012, 47
1015, 27
1017, 37
1019, 49
1021, 29
1023, 40
1025, 26
1026, 39
1027, 40
1028, 38
1029, 41
1031, 37
1032, 37
1033, 34
1035, 46
1037, 37
1038, 31
1041, 45
1044, 36
1045, 44
1046, 42
1047, 36
1049, 26
1051, 25
1052, 31
1053, 38
1054, 42
1055, 39
1057, 32
1058, 29
1059, 29
1061, 29
1062, 41
1064, 38
1065, 44
1066, 36
1069, 44
1070, 35
1072, 39
1073, 40
1074, 39
1077, 33
1078, 39
1079, 44
1080, 35
1081, 27
1082, 46
1085, 39
1086, 34
1088, 48
1089, 39
1090, 35
1091, 48
1093, 27
1094, 38
1095, 33
1096, 48
1098, 30
1099, 30
1100, 43
1101, 43
1102, 31
1104, 33
1106, 36
1108, 33
1109, 27
1110, 40
1111, 45
1112, 31
1114, 40
1115, 48
1116, 25
1118, 29
1119, 25
1120, 39
1123, 34
1125, 39
1126, 44
1127, 44
1129, 26
1130, 26
1133, 33
1136, 31
1137, 31
1138, 25
1139, 41
1142, 37
1144, 29
1146, 43
1147, 31
1148, 27
1151, 43
1152, 41
1154, 27
1158, 32
1159, 37
1160, 25
1161, 33
1163, 46
1164, 43
1166, 28
1167, 26
1170, 43
1171, 35
1172, 48
1174, 30
1175, 29
1177, 48
1178, 35
1180, 49
1181, 44
1183, 41
1184, 27
1185, 35
1186, 30
1187, 26
1188, 33
1189, 39
1191, 33
1193, 38
1195, 43
1196, 31
1197, 35
1200, 40
1201, 38
1202, 41
1203, 38
1204, 45
1206, 42
1207, 29
1209, 30
1210, 43
1211, 45
1212, 49
1213, 49
1214, 38
1215, 29
1216, 36
1217, 44
1218, 32
1219, 44
1220, 35
1221, 48
1225, 37
1226, 29
1228, 49
1230, 26
1231, 39
1232, 39
1233, 42
1235, 36
1236, 40
1237, 49
1238, 40
1239, 36
1241, 36
1242, 34
1243, 33
1244, 37
1245, 47
1248, 43
1255, 34
1256, 38
1258, 28
1259, 37
1262, 29
1264, 49
1265, 34
1267, 40
1270, 28
1274, 27
1277, 39
1279, 30
1280, 35
1281, 29
1282, 36
1283, 32
1284, 29
1285, 28
1286, 41
1287, 42
1289, 47
1290, 30
1291, 43
1293, 36
1294, 28
1296, 47
1297, 25
1298, 45
1302, 26
1303, 39
1305, 28
1306, 26
1307, 48
1308, 44
1309, 36
1310, 31
1311, 32
1312, 42
1313, 42
1314, 39
1315, 46
1316, 45
1319, 44
1320, 29
1321, 48
1323, 33
1324, 34
1325, 42
1326, 37
1327, 31
1328, 42
1329, 34
1330, 40
1331, 31
1334, 45
1336, 47
1337, 46
1338, 45
1339, 44
1341, 26
1343, 27
1345, 40
1346, 25
1347, 43
1348, 47
1349, 41
1350, 39
1351, 27
1352, 41
1353, 28
1354, 37
1355, 25
1357, 49
1360, 36
1364, 43
1366, 41
1367, 42
1370, 38
1371, 48
1372, 40
1374, 27
1375, 38
1378, 32
1379, 29
1380, 46
1381, 46
1382, 33
1383, 38
1384, 25
1385, 45
1386, 40
1389, 26
1390, 34
1391, 33
1393, 31
1394, 27
1395, 45
1396, 47
1397, 46
1398, 39
1399, 36
1401, 28
1403, 25
1404, 42
1405, 41
1406, 39
1407, 49
1409, 46
1410, 30
1411, 42
1412, 44
1413, 38
1414, 32
1417, 25
1418, 42
1419, 32
1422, 40
1424, 35
1425, 45
1426, 48
1427, 32
1428, 41
1429, 37
1430, 45
1432, 40
1433, 34
1434, 26
1436, 25
1438, 34
1440, 40
1441, 39
1442, 38
1443, 35
1444, 29
1446, 31
1447, 39
1448, 48
1449, 26
1451, 26
1452, 30
1454, 29
1456, 36
1457, 27
1458, 25
1460, 41
1461, 47
1462, 32
1464, 31
1465, 36
1466, 44
1467, 31
1468, 28
1469, 28
1470, 27
1472, 44
1476, 43
1477, 37
1480, 38
1481, 38
1484, 30
1485, 48
1486, 36
1487, 43
1489, 38
1491, 45
1492, 35
1494, 29
1495, 42
1496, 41
1500, 28
1501, 28
1503, 47
1504, 48
1505, 47
1507, 41
1508, 36
1509, 37
1510, 34
1511, 27
1513, 28
1514, 47
1515, 32
1517, 35
1519, 32
1521, 49
1522, 29
1523, 36
1524, 31
1525, 34
1526, 28
1527, 25
1529, 28
1531, 38
1532, 33
1533, 40
1534, 35
1535, 31
1536, 39
1538, 47
1540, 47
1541, 33
1542, 29
1543, 49
1544, 38
1545, 29
1548, 39
1550, 25
1551, 40
1553, 30
1554, 26
1556, 41
1557, 29
1558, 44
1559, 27
1561, 41
1563, 45
1564, 33
1567, 47
1569, 26
1570, 25
1571, 37
1572, 36
1573, 29
1574, 38
1575, 25
1576, 33
1577, 47
1579, 25
1582, 40
1583, 45
1584, 26
1585, 43
1588, 49
1589, 34
1591, 33
1592, 28
1593, 37
1594, 28
1595, 36
1596, 42
1597, 32
1598, 34
1599, 32
1600, 35
1603, 46
1604, 40
1605, 34
1606, 46
1607, 49
1608, 32
1609, 40
1612, 36
1613, 43
1614, 37
1616, 36
1617, 27
