ID, gender, age
6, 1, 100
107, 1, 102
205, 1, 98
240, 1, 96
418, 1, 101
431, 1, 98
571, 1, 100
972, 1, 102
1082, 1, 96
1093, 1, 102
1201, 1, 98
1217, 1, 104
1296, 1, 102
1335, 1, 100
1396, 1, 97
1452, 1, 95
1490, 1, 103
1582, 1, 95
1694, 1, 102
1739, 1, 102
1785, 1, 96
2260, 1, 95
2381, 1, 95
2415, 1, 97
2582, 1, 102
2791, 1, 99
2833, 1, 98
2853, 1, 95
2898, 1, 104
2930, 1, 102
2998, 1, 95
3113, 1, 102
3329, 1, 99
3418, 1, 101
3432, 1, 97
3554, 1, 97
3663, 1, 111
4027, 1, 107
4103, 1, 108
4174, 1, 105
4427, 1, 105
4799, 1, 105
5472, 1, 107
7218, 1, 134
7471, 1, 94
7484, 1, 86
7538, 1, 86
7727, 1, 86
7765, 1, 89
7960, 1, 89
8061, 1, 91
8065, 1, 89
8099, 1, 91
8176, 1, 85
8181, 1, 91
8233, 1, 89
8252, 1, 92
8256, 1, 90
8416, 1, 92
8426, 1, 86
8535, 1, 85
8787, 1, 91
8849, 1, 86
8854, 1, 94
8859, 1, 87
8872, 1, 92
8908, 1, 89
8965, 1, 93
9103, 1, 90
9199, 1, 92
9254, 1, 86
9312, 1, 88
9339, 1, 85
9397, 1, 87
9487, 1, 90
9490, 1, 86
9554, 1, 88
9711, 1, 86
9720, 1, 85
9761, 1, 88
10088, 1, 90
10153, 1, 86
10157, 1, 86
10163, 1, 88
10262, 1, 92
10423, 1, 89
10433, 1, 89
10485, 1, 90
10567, 1, 86
10595, 1, 88
10640, 1, 90
10679, 1, 91
10724, 1, 89
10763, 1, 91
11057, 1, 86
11125, 1, 89
11158, 1, 90
11211, 1, 85
11225, 1, 87
11304, 1, 85
11336, 1, 91
11339, 1, 92
11365, 1, 90
11425, 1, 86
11450, 1, 87
11513, 1, 89
11644, 1, 87
11680, 1, 86
11699, 1, 85
11739, 1, 87
11808, 1, 87
11878, 1, 87
11928, 1, 88
12681, 1, 83
12712, 1, 82
12718, 1, 83
12866, 1, 84
12870, 1, 84
12890, 1, 81
12995, 1, 84
13034, 1, 81
13056, 1, 82
13067, 1, 81
13116, 1, 83
13117, 1, 80
13240, 1, 83
13243, 1, 81
13302, 1, 81
13316, 1, 84
13342, 1, 80
13346, 1, 81
13349, 1, 83
13350, 1, 84
13420, 1, 84
13423, 1, 80
13460, 1, 81
13464, 1, 80
13506, 1, 80
13555, 1, 83
13558, 1, 82
13602, 1, 83
13658, 1, 84
13700, 1, 82
13718, 1, 80
13722, 1, 80
13748, 1, 84
13802, 1, 82
13840, 1, 84
13848, 1, 83
13880, 1, 82
13901, 1, 80
13917, 1, 84
13923, 1, 82
