ID, gender, age
5, 1, 81
75, 1, 81
83, 1, 79
84, 1, 82
98, 1, 79
119, 1, 84
125, 1, 84
140, 1, 78
152, 1, 78
160, 1, 84
181, 1, 80
195, 1, 79
202, 1, 82
232, 1, 75
240, 1, 75
268, 1, 75
270, 1, 84
277, 1, 81
280, 1, 79
320, 1, 75
326, 1, 76
349, 1, 77
405, 1, 76
426, 1, 77
450, 1, 75
471, 1, 78
500, 1, 76
523, 1, 75
527, 1, 75
570, 1, 81
579, 1, 76
602, 1, 75
625, 1, 83
676, 1, 81
705, 1, 77
744, 1, 83
773, 1, 75
783, 1, 80
785, 1, 83
879, 1, 77
883, 1, 76
894, 1, 82
918, 1, 77
947, 1, 78
949, 1, 82
971, 1, 77
972, 1, 80
973, 1, 83
987, 1, 78
1055, 1, 84
1059, 1, 81
1063, 1, 83
1088, 1, 83
1144, 1, 80
1149, 1, 79
1173, 1, 82
1188, 1, 81
1190, 1, 84
1203, 1, 79
1212, 1, 83
1230, 1, 82
1232, 1, 77
1246, 1, 77
1271, 1, 79
1289, 1, 78
1290, 1, 75
1330, 1, 77
1352, 1, 77
1363, 1, 78
1384, 1, 81
1387, 1, 84
1396, 1, 75
1425, 1, 81
1440, 1, 79
1444, 1, 75
1445, 1, 76
1481, 1, 81
1496, 1, 76
1506, 1, 78
1560, 1, 84
1566, 1, 82
1568, 1, 82
1571, 1, 80
1579, 1, 77
1596, 1, 75
1627, 1, 76
1696, 1, 81
1697, 1, 82
1704, 1, 75
1727, 1, 84
1750, 1, 75
1787, 1, 81
1827, 1, 76
1885, 1, 76
1902, 1, 77
1917, 1, 75
1938, 1, 75
1960, 1, 76
2004, 1, 83
2029, 1, 84
2037, 1, 79
2092, 1, 81
2115, 1, 80
2128, 1, 83
2133, 1, 75
2172, 1, 76
2175, 1, 84
2187, 1, 84
2211, 1, 78
2213, 1, 78
2222, 1, 79
2237, 1, 77
2295, 1, 76
2299, 1, 75
2319, 1, 82
2321, 1, 82
2348, 1, 77
2372, 1, 76
2389, 1, 78
2408, 1, 77
2412, 1, 83
2433, 1, 78
2436, 1, 76
2441, 1, 77
2457, 1, 83
2488, 1, 76
2501, 1, 75
2523, 1, 76
2561, 1, 82
2571, 1, 80
2579, 1, 78
2581, 1, 77
2590, 1, 79
2606, 1, 83
2621, 1, 80
2634, 1, 75
2636, 1, 84
2646, 1, 75
2713, 1, 75
2727, 1, 78
2731, 1, 84
2740, 1, 80
2781, 1, 78
2785, 1, 82
2829, 1, 83
2830, 1, 79
2839, 1, 78
2850, 1, 82
2869, 1, 78
2885, 1, 77
2890, 1, 76
2904, 1, 80
2911, 1, 75
2917, 1, 76
2927, 1, 79
2949, 1, 78
2970, 1, 77
2987, 1, 79
3000, 1, 78
3011, 1, 81
3040, 1, 76
3042, 1, 77
3065, 1, 76
3079, 1, 75
3084, 1, 83
3090, 1, 75
3177, 1, 76
3195, 1, 80
3197, 1, 77
3263, 1, 77
3268, 1, 75
3303, 1, 81
3361, 1, 81
3365, 1, 79
3377, 1, 75
3389, 1, 80
3401, 1, 78
